Reflectivity signal measured in H2O ice compressed at 84 GPa
Measurement conducted by Sergey Nikitin in May 2014
Time (ns)	Amplitude (V)
-9.380280e-02 	 6.300700e-05
-9.276060e-02 	 6.302900e-05
-9.171830e-02 	 6.297200e-05
-9.067610e-02 	 6.299600e-05
-8.963380e-02 	 6.296400e-05
-8.859160e-02 	 6.297100e-05
-8.754930e-02 	 6.296500e-05
-8.650700e-02 	 6.292100e-05
-8.546480e-02 	 6.298100e-05
-8.442250e-02 	 6.299200e-05
-8.338030e-02 	 6.296300e-05
-8.233800e-02 	 6.294500e-05
-8.129580e-02 	 6.296600e-05
-8.025350e-02 	 6.299600e-05
-7.921130e-02 	 6.302500e-05
-7.816900e-02 	 6.300700e-05
-7.712680e-02 	 6.297600e-05
-7.608450e-02 	 6.296900e-05
-7.504230e-02 	 6.294200e-05
-7.400000e-02 	 6.296100e-05
-7.295780e-02 	 6.296100e-05
-7.191550e-02 	 6.291600e-05
-7.087320e-02 	 6.291700e-05
-6.983100e-02 	 6.292100e-05
-6.878870e-02 	 6.288000e-05
-6.774650e-02 	 6.287900e-05
-6.670420e-02 	 6.288800e-05
-6.566200e-02 	 6.287000e-05
-6.461970e-02 	 6.285800e-05
-6.357750e-02 	 6.288900e-05
-6.253520e-02 	 6.290400e-05
-6.149300e-02 	 6.291100e-05
-6.045070e-02 	 6.292100e-05
-5.940850e-02 	 6.294000e-05
-5.836620e-02 	 6.292400e-05
-5.732390e-02 	 6.294200e-05
-5.628170e-02 	 6.293100e-05
-5.523940e-02 	 6.297600e-05
-5.419720e-02 	 6.298600e-05
-5.315490e-02 	 6.302300e-05
-5.211270e-02 	 6.298000e-05
-5.107040e-02 	 6.299400e-05
-5.002820e-02 	 6.296600e-05
-4.898590e-02 	 6.291900e-05
-4.794370e-02 	 6.289800e-05
-4.690140e-02 	 6.288000e-05
-4.585920e-02 	 6.286300e-05
-4.481690e-02 	 6.287300e-05
-4.377470e-02 	 6.286400e-05
-4.273240e-02 	 6.280900e-05
-4.169010e-02 	 6.282000e-05
-4.064790e-02 	 6.283000e-05
-3.960560e-02 	 6.280900e-05
-3.856340e-02 	 6.286700e-05
-3.752110e-02 	 6.288800e-05
-3.647890e-02 	 6.291000e-05
-3.543660e-02 	 6.290100e-05
-3.439440e-02 	 6.287500e-05
-3.335210e-02 	 6.287600e-05
-3.230990e-02 	 6.291300e-05
-3.126760e-02 	 6.290900e-05
-3.022540e-02 	 6.293500e-05
-2.918310e-02 	 6.295400e-05
-2.814090e-02 	 6.295000e-05
