Freq (Hz)	Coh_accelerometre /source
source
source
10.000000000000018E+0	991.229613943763520E-3
11.000000000000020E+0	993.240968019976630E-3
12.000000000000021E+0	993.384610172797670E-3
13.000000000000023E+0	998.270330793504690E-3
14.000000000000025E+0	885.863073066346820E-3
15.000000000000027E+0	998.584391317823280E-3
16.000000000000028E+0	999.060184148265140E-3
17.000000000000028E+0	998.971612063213170E-3
18.000000000000028E+0	999.579356053845400E-3
19.000000000000028E+0	999.468616082406780E-3
20.000000000000028E+0	999.695691242049380E-3
21.000000000000028E+0	999.882470031561500E-3
22.000000000000028E+0	999.724832074305400E-3
23.000000000000028E+0	999.886092154602560E-3
24.000000000000028E+0	999.924882106189020E-3
25.000000000000028E+0	999.965682701820730E-3
26.000000000000028E+0	999.975600839284270E-3
27.000000000000028E+0	999.919235238865720E-3
28.000000000000028E+0	999.941001740679240E-3
29.000000000000028E+0	999.830709733151800E-3
30.000000000000028E+0	999.550116242532320E-3
31.000000000000028E+0	999.758107076162190E-3
32.000000000000028E+0	999.938158644529400E-3
33.000000000000028E+0	999.926396894855740E-3
34.000000000000028E+0	999.858484449152040E-3
35.000000000000028E+0	999.527666494178010E-3
36.000000000000028E+0	999.780102207836200E-3
37.000000000000028E+0	999.909317830804280E-3
38.000000000000028E+0	999.806349129713780E-3
39.000000000000028E+0	999.383165757489750E-3
40.000000000000028E+0	999.829837486907350E-3
41.000000000000028E+0	999.915961187008320E-3
42.000000000000028E+0	999.918062307690540E-3
43.000000000000028E+0	999.852594001662260E-3
44.000000000000028E+0	999.871263738584480E-3
45.000000000000028E+0	999.894774351217980E-3
46.000000000000028E+0	999.822968647096190E-3
47.000000000000028E+0	998.708142494584280E-3
48.000000000000028E+0	992.869137756015150E-3
49.000000000000028E+0	997.011445914628310E-3
50.000000000000028E+0	999.557166483270200E-3
51.000000000000028E+0	999.848992131394550E-3
52.000000000000028E+0	999.828144108341530E-3
53.000000000000028E+0	999.865432601791060E-3
54.000000000000028E+0	999.945848509753540E-3
55.000000000000028E+0	999.919474216038000E-3
56.000000000000028E+0	999.959796200615810E-3
57.000000000000028E+0	999.884822986590090E-3
58.000000000000028E+0	999.066329306186220E-3
59.000000000000028E+0	999.809333453397060E-3
60.000000000000028E+0	999.916411119222690E-3
61.000000000000028E+0	999.934513809226150E-3
62.000000000000028E+0	999.887730118434130E-3
63.000000000000028E+0	999.973874162324860E-3
64.000000000000028E+0	999.975646885889360E-3
65.000000000000028E+0	999.984170758622230E-3
66.000000000000028E+0	999.987552000316970E-3
67.000000000000028E+0	999.983031726613070E-3
68.000000000000028E+0	999.967290234324620E-3
69.000000000000028E+0	999.976273622828700E-3
70.000000000000028E+0	999.988281865450410E-3
71.000000000000028E+0	999.960510111952420E-3
72.000000000000028E+0	999.955065577818990E-3
73.000000000000028E+0	999.952046689545630E-3
74.000000000000028E+0	999.957917158207250E-3
75.000000000000028E+0	999.966282591545190E-3
76.000000000000028E+0	999.956497012644770E-3
77.000000000000028E+0	999.943732272614130E-3
78.000000000000028E+0	999.964636745293680E-3
79.000000000000028E+0	999.968870242889610E-3
80.000000000000028E+0	999.872754535055860E-3
81.000000000000028E+0	999.892592826536970E-3
82.000000000000028E+0	999.942738525609110E-3
83.000000000000028E+0	999.954894413604740E-3
84.000000000000028E+0	999.948249503490820E-3
85.000000000000028E+0	999.866779641728100E-3
86.000000000000028E+0	999.792276151392880E-3
87.000000000000028E+0	999.795038331590780E-3
88.000000000000028E+0	999.953830551667870E-3
89.000000000000028E+0	999.966361465761010E-3
90.000000000000028E+0	996.734403617262730E-3
91.000000000000028E+0	999.920347761323440E-3
92.000000000000028E+0	999.950613325972010E-3
93.000000000000028E+0	999.904753395826960E-3
94.000000000000028E+0	999.874981547272830E-3
95.000000000000028E+0	999.704808723366310E-3
96.000000000000028E+0	999.340744897480480E-3
97.000000000000028E+0	999.758431458236620E-3
98.000000000000028E+0	999.787522323041800E-3
99.000000000000028E+0	999.622414128802040E-3
100.000000000000030E+0	997.136642404873430E-3
101.000000000000030E+0	999.920948554142370E-3
102.000000000000030E+0	999.946177543238560E-3
103.000000000000030E+0	999.800433833519690E-3
104.000000000000030E+0	999.802538171159940E-3
105.000000000000030E+0	998.935757204918780E-3
106.000000000000030E+0	999.737974796776060E-3
107.000000000000030E+0	999.937866252134880E-3
108.000000000000030E+0	999.896251218067470E-3
109.000000000000030E+0	997.774185561119190E-3
110.000000000000030E+0	999.875101106634910E-3
111.000000000000030E+0	999.880000869379890E-3
112.000000000000030E+0	999.764117895322930E-3
113.000000000000030E+0	999.705861049115180E-3
114.000000000000030E+0	999.788248640229860E-3
115.000000000000030E+0	999.875737858046840E-3
116.000000000000030E+0	999.906907844241740E-3
117.000000000000030E+0	999.925238024774400E-3
118.000000000000030E+0	999.778630474556170E-3
119.000000000000030E+0	996.127779901641360E-3
120.000000000000030E+0	999.820293517770800E-3
121.000000000000030E+0	999.876004552194500E-3
122.000000000000030E+0	999.568456567437540E-3
123.000000000000030E+0	999.889123123147040E-3
124.000000000000030E+0	999.580252875787890E-3
125.000000000000030E+0	999.884575272206640E-3
126.000000000000030E+0	999.900287618764040E-3
127.000000000000030E+0	999.900343088208630E-3
128.000000000000030E+0	998.771003418172820E-3
129.000000000000030E+0	999.816930810603190E-3
130.000000000000030E+0	999.936101680416800E-3
131.000000000000030E+0	999.955724767594980E-3
132.000000000000030E+0	999.636152823431320E-3
133.000000000000030E+0	999.677708632811130E-3
134.000000000000030E+0	999.781051047712750E-3
135.000000000000030E+0	999.654949272183680E-3
136.000000000000030E+0	999.734605662907950E-3
137.000000000000030E+0	998.915559974045690E-3
138.000000000000030E+0	999.812186944938010E-3
139.000000000000030E+0	999.925409036281020E-3
140.000000000000030E+0	999.893539289044900E-3
141.000000000000030E+0	999.788580098872390E-3
142.000000000000030E+0	999.421174754514310E-3
143.000000000000030E+0	999.528961157282400E-3
144.000000000000030E+0	999.590269236087740E-3
145.000000000000030E+0	999.116887023435710E-3
146.000000000000030E+0	998.831650333349310E-3
147.000000000000030E+0	998.632295953086000E-3
148.000000000000030E+0	999.865505328712430E-3
149.000000000000030E+0	999.832752419751560E-3
150.000000000000030E+0	998.923669434054200E-3
151.000000000000030E+0	998.654808873222550E-3
152.000000000000030E+0	999.419808333541600E-3
153.000000000000030E+0	998.312343138657690E-3
154.000000000000030E+0	998.387493779018810E-3
155.000000000000030E+0	998.329443755997080E-3
156.000000000000030E+0	951.641721005164640E-3
157.000000000000030E+0	999.045028238950360E-3
158.000000000000030E+0	999.610274760558300E-3
159.000000000000030E+0	999.606197421413660E-3
160.000000000000030E+0	999.278153961904560E-3
161.000000000000030E+0	997.421432331969120E-3
162.000000000000030E+0	999.665929692683090E-3
163.000000000000030E+0	999.553186104897520E-3
164.000000000000030E+0	998.978697443235420E-3
165.000000000000030E+0	999.342913713236910E-3
166.000000000000030E+0	997.401107490227030E-3
167.000000000000030E+0	999.561845393312390E-3
168.000000000000030E+0	999.510383569481960E-3
169.000000000000030E+0	999.119023542718200E-3
170.000000000000030E+0	999.171205363248330E-3
171.000000000000030E+0	999.483505705301090E-3
172.000000000000030E+0	999.422325208236820E-3
173.000000000000030E+0	998.963715521691940E-3
174.000000000000030E+0	998.487048797420560E-3
175.000000000000030E+0	998.795851935285420E-3
176.000000000000030E+0	999.362719162706470E-3
177.000000000000030E+0	999.339738764102980E-3
178.000000000000030E+0	999.325236034273700E-3
179.000000000000030E+0	999.113243779667370E-3
180.000000000000030E+0	999.584280206868400E-3
181.000000000000030E+0	999.663952182603400E-3
182.000000000000030E+0	999.206877869965310E-3
183.000000000000030E+0	999.142578631843750E-3
184.000000000000030E+0	999.568392466249400E-3
185.000000000000030E+0	999.805969696377030E-3
186.000000000000030E+0	999.867565763593150E-3
187.000000000000030E+0	999.866940657033190E-3
188.000000000000030E+0	999.795007680231110E-3
189.000000000000030E+0	999.763230320883210E-3
190.000000000000030E+0	999.732720460482560E-3
191.000000000000030E+0	999.676908054621170E-3
192.000000000000030E+0	999.238185558881440E-3
193.000000000000030E+0	999.379612206319100E-3
194.000000000000030E+0	999.646997318614730E-3
195.000000000000030E+0	999.596843413279810E-3
196.000000000000030E+0	999.391165426305130E-3
197.000000000000030E+0	998.767141620975020E-3
198.000000000000030E+0	997.226949214104710E-3
199.000000000000030E+0	999.560780851266650E-3
200.000000000000030E+0	999.702301332158980E-3
201.000000000000030E+0	999.418374226644480E-3
202.000000000000030E+0	999.009241150688450E-3
203.000000000000030E+0	998.223351610286860E-3
204.000000000000030E+0	999.193691880968630E-3
205.000000000000030E+0	998.878261149521500E-3
206.000000000000030E+0	999.150112109593920E-3
207.000000000000030E+0	997.838347154493930E-3
208.000000000000030E+0	999.069201661956670E-3
209.000000000000030E+0	999.444359432352770E-3
210.000000000000030E+0	998.204985426182080E-3
211.000000000000030E+0	993.461510342076410E-3
212.000000000000030E+0	998.457938835629050E-3
213.000000000000030E+0	993.575404385351630E-3
214.000000000000030E+0	975.603348975351840E-3
215.000000000000030E+0	989.091760525616310E-3
216.000000000000030E+0	996.038779891524450E-3
217.000000000000030E+0	998.737096176991250E-3
218.000000000000030E+0	999.633679304485430E-3
219.000000000000030E+0	997.946719196423410E-3
220.000000000000030E+0	991.866394627789140E-3
221.000000000000030E+0	992.068982860632610E-3
222.000000000000030E+0	998.890322822961530E-3
223.000000000000030E+0	999.239267711978240E-3
224.000000000000030E+0	998.857787713316010E-3
225.000000000000030E+0	997.828629114761670E-3
226.000000000000030E+0	997.546875960358740E-3
227.000000000000030E+0	999.049307925378050E-3
228.000000000000030E+0	999.014632637092890E-3
229.000000000000030E+0	997.050853440530900E-3
230.000000000000030E+0	991.388618736663730E-3
231.000000000000030E+0	996.991156041642350E-3
232.000000000000030E+0	997.559225229864620E-3
233.000000000000030E+0	996.529805381805910E-3
234.000000000000030E+0	997.622670658026340E-3
235.000000000000030E+0	994.870918093773810E-3
236.000000000000030E+0	995.936650757304750E-3
237.000000000000030E+0	997.241149793285150E-3
238.000000000000030E+0	997.775287405313850E-3
239.000000000000030E+0	995.489910982806260E-3
240.000000000000030E+0	995.208584785409410E-3
241.000000000000030E+0	998.586891776318320E-3
242.000000000000030E+0	998.321319666451320E-3
243.000000000000030E+0	997.610181232152060E-3
244.000000000000030E+0	998.378731045540420E-3
245.000000000000030E+0	995.014729551167430E-3
246.000000000000030E+0	998.500665949022430E-3
247.000000000000030E+0	998.889345765140660E-3
248.000000000000030E+0	997.998035159828540E-3
249.000000000000030E+0	993.411350010378280E-3
250.000000000000030E+0	995.909176235635020E-3
251.000000000000030E+0	998.249847999725830E-3
252.000000000000030E+0	996.966825444586480E-3
253.000000000000030E+0	996.496901744595040E-3
254.000000000000030E+0	997.511123989461620E-3
255.000000000000030E+0	998.592071333166520E-3
256.000000000000060E+0	998.516901325105840E-3
257.000000000000060E+0	999.014005659586310E-3
258.000000000000060E+0	997.284923270597810E-3
259.000000000000060E+0	998.176486379895420E-3
260.000000000000060E+0	998.976791558599860E-3
261.000000000000060E+0	998.089282889960350E-3
262.000000000000060E+0	997.478580465049780E-3
263.000000000000060E+0	994.179941653175030E-3
264.000000000000060E+0	993.468999831682690E-3
265.000000000000060E+0	997.746764568918980E-3
266.000000000000060E+0	998.420295024868290E-3
267.000000000000060E+0	998.007495529573570E-3
268.000000000000060E+0	992.327098499058200E-3
269.000000000000060E+0	998.420429831333170E-3
270.000000000000060E+0	998.823360249324720E-3
271.000000000000060E+0	996.237237384473450E-3
272.000000000000060E+0	995.776684581781370E-3
273.000000000000060E+0	997.371215975921600E-3
274.000000000000060E+0	998.271403480631260E-3
275.000000000000060E+0	998.984411138415960E-3
276.000000000000060E+0	999.052664481085430E-3
277.000000000000060E+0	995.674307480646890E-3
278.000000000000060E+0	998.265232179857300E-3
279.000000000000060E+0	998.567824219855680E-3
280.000000000000060E+0	997.637353111434090E-3
281.000000000000060E+0	996.713646193667870E-3
282.000000000000060E+0	996.709808217906780E-3
283.000000000000060E+0	998.808658675527820E-3
284.000000000000060E+0	997.569023615143430E-3
285.000000000000060E+0	997.731384713242740E-3
286.000000000000060E+0	997.873148954845580E-3
287.000000000000060E+0	991.196293469076670E-3
288.000000000000060E+0	998.347604157665440E-3
289.000000000000060E+0	997.576474093625490E-3
290.000000000000060E+0	994.121325822927780E-3
291.000000000000060E+0	997.058881404384030E-3
292.000000000000060E+0	998.042043145644490E-3
293.000000000000060E+0	996.580744796443650E-3
294.000000000000060E+0	993.069853515983420E-3
295.000000000000060E+0	990.280123544449830E-3
296.000000000000060E+0	986.725184536863970E-3
297.000000000000060E+0	992.226090016845920E-3
298.000000000000060E+0	995.602066149264500E-3
299.000000000000060E+0	994.378463238334790E-3
300.000000000000060E+0	985.453338797304900E-3
301.000000000000060E+0	993.207938141358990E-3
302.000000000000060E+0	994.977230914388940E-3
303.000000000000060E+0	980.312576746642290E-3
304.000000000000060E+0	996.352243171186090E-3
305.000000000000060E+0	985.032015643481530E-3
306.000000000000060E+0	995.505985658312390E-3
307.000000000000060E+0	997.307585291829950E-3
308.000000000000060E+0	995.908014476280630E-3
309.000000000000060E+0	985.195683705847200E-3
310.000000000000060E+0	966.461896141982630E-3
311.000000000000060E+0	990.697263147317210E-3
312.000000000000060E+0	993.986636252716550E-3
313.000000000000060E+0	993.889540633142050E-3
314.000000000000060E+0	983.520288604751710E-3
315.000000000000060E+0	991.479717651389420E-3
316.000000000000060E+0	963.543316634675960E-3
317.000000000000060E+0	995.286053502782540E-3
318.000000000000060E+0	996.099960783639160E-3
319.000000000000060E+0	994.135267391662910E-3
320.000000000000060E+0	998.968948064608230E-3
