Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
10.000000000000020E+0	59.956503233269319E-6	154.183029547184050E-3
11.000000000000021E+0	1.400728874399863E-3	312.302237266846530E-3
12.000000000000023E+0	537.048937010124040E-6	725.015296582599780E-3
13.000000000000025E+0	304.673099932436010E-6	906.215635404922890E-3
14.000000000000027E+0	3.740090622012657E-3	1.648181270475670E+0
15.000000000000028E+0	2.306748155798033E-3	2.223506814914072E+0
16.000000000000032E+0	4.390602218696735E-3	2.750846125465627E+0
17.000000000000036E+0	4.157268884818070E-3	3.864638752620402E+0
18.000000000000039E+0	2.026782549512240E-3	4.142454134562396E+0
19.000000000000043E+0	33.224036971372481E-3	4.531293012072349E+0
20.000000000000046E+0	24.742592014860502E-3	5.676014902454474E+0
21.000000000000050E+0	27.165026817452548E-3	6.684235003064241E+0
22.000000000000053E+0	88.363608921879000E-3	8.024222668491449E+0
23.000000000000057E+0	155.995967783676250E-3	9.864319375828732E+0
24.000000000000060E+0	335.154959938973540E-3	13.439273218672266E+0
25.000000000000064E+0	768.517510412530800E-3	18.331870582805585E+0
26.000000000000067E+0	1.952142196510241E+0	30.087755029490250E+0
27.000000000000071E+0	1.953041212801108E+0	28.514714433563721E+0
28.000000000000075E+0	2.564390823163102E+0	26.880926483158088E+0
29.000000000000078E+0	1.031760841566077E+0	15.439304289229899E+0
30.000000000000082E+0	405.911045937379200E-3	12.607002125238401E+0
31.000000000000085E+0	614.035060692981860E-3	20.247172330343442E+0
32.000000000000085E+0	617.723651298869520E-3	34.026137517169516E+0
33.000000000000085E+0	701.971483708018870E-3	33.437046505561057E+0
34.000000000000085E+0	379.625309893948770E-3	20.664432114891152E+0
35.000000000000085E+0	101.033378015594570E-3	15.644334308406712E+0
36.000000000000085E+0	127.485801760905100E-3	31.091073405952052E+0
37.000000000000085E+0	1.514972989542065E+0	46.048938102801330E+0
38.000000000000085E+0	1.552256876070168E+0	35.251887723322781E+0
39.000000000000085E+0	455.502558489553340E-3	15.571154856527324E+0
40.000000000000085E+0	1.176213299871548E+0	27.598034109929252E+0
41.000000000000085E+0	2.357244049444714E+0	64.426310537775848E+0
42.000000000000085E+0	2.147035390394488E+0	63.444518538346287E+0
43.000000000000085E+0	1.508347797915106E+0	29.942252890429000E+0
44.000000000000085E+0	979.824998283018390E-3	17.058422962194619E+0
45.000000000000085E+0	2.094221170730093E+0	41.731983717135151E+0
46.000000000000085E+0	3.401667512918705E+0	71.185139400417668E+0
47.000000000000085E+0	2.746697846429060E+0	66.532964851555988E+0
48.000000000000085E+0	974.300460906671440E-3	26.168814742297549E+0
49.000000000000085E+0	1.167857526939309E+0	23.188674971838644E+0
50.000000000000085E+0	4.177080841916012E+0	82.981179078920888E+0
51.000000000000085E+0	5.626197852655656E+0	106.994382663762810E+0
52.000000000000085E+0	1.989464880599018E+0	53.310479423919354E+0
53.000000000000085E+0	866.902080865884270E-3	25.372151879529611E+0
54.000000000000085E+0	2.324576148403259E+0	62.263052044042979E+0
55.000000000000085E+0	2.763322457578604E+0	87.119335521768150E+0
56.000000000000085E+0	2.858752351141734E+0	92.355900620267192E+0
57.000000000000085E+0	1.722592618250181E+0	61.724176977802486E+0
58.000000000000085E+0	389.207690203276560E-3	18.486382515428467E+0
59.000000000000085E+0	1.659185952659525E+0	90.514854858082373E+0
60.000000000000085E+0	4.424068690816292E+0	186.650948498213320E+0
61.000000000000085E+0	3.068018334668303E+0	119.332989312219100E+0
62.000000000000085E+0	1.045262994069011E+0	49.121089858517337E+0
63.000000000000085E+0	3.659913126718205E+0	150.352328958438220E+0
64.000000000000085E+0	6.713226929651415E+0	228.607520974428840E+0
65.000000000000085E+0	10.292400862716404E+0	324.847536637052260E+0
66.000000000000085E+0	9.375364021424925E+0	340.995295330883720E+0
67.000000000000085E+0	844.329839718041210E-3	97.990316888722418E+0
68.000000000000085E+0	2.287626031854162E+0	129.370099063418880E+0
69.000000000000085E+0	3.061627588623947E+0	330.523120280186730E+0
70.000000000000085E+0	2.224240441587459E+0	309.075628888149590E+0
71.000000000000085E+0	3.181667818330413E+0	102.030652225334250E+0
72.000000000000085E+0	2.087923816832045E+0	94.436969763734041E+0
73.000000000000085E+0	2.287280566331014E+0	239.342467179480590E+0
74.000000000000085E+0	6.419931721232547E+0	244.925352913026780E+0
75.000000000000085E+0	5.913795727603261E+0	236.261587862158140E+0
76.000000000000085E+0	3.124479948437286E+0	185.829513018186450E+0
77.000000000000085E+0	4.201832173573996E+0	78.219377323072749E+0
78.000000000000085E+0	12.180294676120310E+0	356.807588916678980E+0
79.000000000000085E+0	13.770310356323336E+0	431.146485839845180E+0
80.000000000000085E+0	5.128461385655522E+0	129.262897951642710E+0
81.000000000000085E+0	3.541861813905240E+0	67.945422819743229E+0
82.000000000000085E+0	9.058235518987349E+0	154.959455152613370E+0
83.000000000000085E+0	12.796289722088892E+0	227.223653538745110E+0
84.000000000000085E+0	7.283567154471319E+0	141.703524442215980E+0
85.000000000000085E+0	3.916238133305573E+0	57.683968133369696E+0
86.000000000000085E+0	2.077480238952039E+0	41.968571423860098E+0
87.000000000000085E+0	823.847025177734120E-3	49.381486825674216E+0
88.000000000000085E+0	8.150662469876291E+0	225.366847867419520E+0
89.000000000000085E+0	7.083950997953144E+0	172.163353171554750E+0
90.000000000000085E+0	197.301380907669410E-3	3.723039969814073E+0
91.000000000000085E+0	2.204498057709210E+0	66.224210008356508E+0
92.000000000000085E+0	3.212961673853454E+0	100.344075067306460E+0
93.000000000000085E+0	2.351507876906956E+0	58.926407242077929E+0
94.000000000000085E+0	1.944257147057337E+0	48.898795584967438E+0
95.000000000000085E+0	582.723153269378510E-3	24.528809917290015E+0
96.000000000000085E+0	1.377371262964965E+0	24.039585955629683E+0
97.000000000000085E+0	7.098854104316987E+0	100.927747291970120E+0
98.000000000000085E+0	5.383596786227145E+0	96.624138905022022E+0
99.000000000000085E+0	1.266483314710745E+0	36.582399010397310E+0
