Freq (Hz)	Sonde/GEN_Mod	Sonde/GEN_Phase(rad)
91.000000000000028E+0	95.374030770086507E-3	38.584537015950282E+0
92.000000000000028E+0	115.977897707739900E-3	38.294003573950754E+0
93.000000000000028E+0	118.510241302844790E-3	37.924602223372979E+0
94.000000000000028E+0	120.960945102956120E-3	37.717159531566281E+0
95.000000000000028E+0	118.910192825088560E-3	37.815257474699308E+0
96.000000000000028E+0	109.573872709781440E-3	37.260448466989970E+0
97.000000000000028E+0	115.758873395117530E-3	37.167034250097600E+0
98.000000000000028E+0	112.475631114872550E-3	37.147078772452396E+0
99.000000000000028E+0	84.562109002050093E-3	36.908466167192273E+0
100.000000000000030E+0	99.157965049816818E-3	36.647561623034370E+0
101.000000000000030E+0	86.334294845675563E-3	36.895027233817025E+0
102.000000000000030E+0	77.054455895945895E-3	36.519432549614137E+0
103.000000000000030E+0	64.863703569691386E-3	36.502697698012362E+0
104.000000000000030E+0	77.997484201245318E-3	36.503694865375124E+0
105.000000000000030E+0	69.398818976399074E-3	36.774984245447733E+0
106.000000000000030E+0	57.980427573585659E-3	36.449883948882181E+0
107.000000000000030E+0	45.006604459622415E-3	35.960483118388531E+0
108.000000000000030E+0	54.235774060264801E-3	36.500937749195202E+0
109.000000000000030E+0	55.763302691319724E-3	36.342003413438157E+0
110.000000000000030E+0	62.493694920646756E-3	36.241285786183973E+0
111.000000000000030E+0	44.199401542294993E-3	36.213345979896680E+0
112.000000000000030E+0	50.884326562582280E-3	36.227989908862220E+0
113.000000000000030E+0	58.221234733808545E-3	36.490420304782432E+0
114.000000000000030E+0	62.470459650802682E-3	36.197297574567315E+0
115.000000000000030E+0	41.038117193888668E-3	36.043934741579655E+0
116.000000000000030E+0	41.258434283545926E-3	36.324473051751482E+0
117.000000000000030E+0	53.465309368776734E-3	36.301384133513473E+0
118.000000000000030E+0	45.936104958918325E-3	36.126514502220701E+0
119.000000000000030E+0	39.227346397198090E-3	35.996414913298800E+0
120.000000000000030E+0	41.077531255831114E-3	36.273500920077723E+0
121.000000000000030E+0	40.515132932519009E-3	36.378341578181711E+0
122.000000000000030E+0	33.860479533660101E-3	35.818653552454606E+0
123.000000000000030E+0	36.361230552951540E-3	35.932210872156737E+0
124.000000000000030E+0	30.746459251674029E-3	35.982318521910543E+0
125.000000000000030E+0	36.949230856545362E-3	35.819493919700804E+0
126.000000000000030E+0	27.672892038139028E-3	35.892295250501810E+0
127.000000000000030E+0	34.628091908057844E-3	35.674180067558773E+0
128.000000000000030E+0	38.048540596365837E-3	35.796599633880348E+0
