Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
10.000000000000020E+0	2.566979411765187E-3	146.189235246947460E-3
11.000000000000021E+0	1.233223088965934E-3	294.784258252700830E-3
12.000000000000023E+0	2.658489741172901E-3	711.304381885675800E-3
13.000000000000025E+0	3.841467969504327E-3	871.042249874373950E-3
14.000000000000027E+0	7.683531239181303E-3	1.587705060567814E+0
15.000000000000028E+0	2.427468295552660E-3	2.144787954091361E+0
16.000000000000032E+0	674.888494676883120E-6	2.632482583198979E+0
17.000000000000036E+0	8.392071704174581E-3	3.667548349556630E+0
18.000000000000039E+0	13.022941962804374E-3	4.048979790286602E+0
19.000000000000043E+0	24.079909781205538E-3	4.242850543751297E+0
20.000000000000046E+0	29.997204710446458E-3	5.194739328048508E+0
21.000000000000050E+0	49.651225596693875E-3	6.316011830644895E+0
22.000000000000053E+0	103.560475950341830E-3	8.097068128234573E+0
23.000000000000057E+0	196.334072139894510E-3	9.507309446233441E+0
24.000000000000060E+0	376.396305826579290E-3	12.234024120119354E+0
25.000000000000064E+0	1.122964232407315E+0	18.403400310025521E+0
26.000000000000067E+0	3.127192698495244E+0	33.427649176932313E+0
27.000000000000071E+0	2.309802333081730E+0	27.138380825214419E+0
28.000000000000075E+0	3.002240220581683E+0	24.244176591606141E+0
29.000000000000078E+0	1.352706539799532E+0	15.262695804967223E+0
30.000000000000082E+0	688.767790888297650E-3	11.561357229888987E+0
31.000000000000085E+0	973.161371403573280E-3	18.872565232646316E+0
32.000000000000085E+0	761.404840226656440E-3	32.695819533784601E+0
33.000000000000085E+0	592.132203699729960E-3	31.174017544535353E+0
34.000000000000085E+0	217.212837505185300E-3	19.637750632141000E+0
35.000000000000085E+0	21.035473855587020E-3	14.683021051372631E+0
36.000000000000085E+0	188.958801731352380E-3	29.176639563539272E+0
37.000000000000085E+0	1.031322003766781E+0	45.225848273224926E+0
38.000000000000085E+0	1.410999281733355E+0	33.785953884975505E+0
39.000000000000085E+0	385.377863920318360E-3	14.689507448025434E+0
40.000000000000085E+0	804.156384138896010E-3	26.433922928999401E+0
41.000000000000085E+0	2.190262773825032E+0	59.206054029824394E+0
42.000000000000085E+0	2.348730483496301E+0	58.748653997345819E+0
43.000000000000085E+0	1.956684800406923E+0	28.073130761708967E+0
44.000000000000085E+0	1.458726708712661E+0	15.730842702146191E+0
45.000000000000085E+0	3.051452311002529E+0	41.110212552355691E+0
46.000000000000085E+0	4.002145860194863E+0	68.561612127571919E+0
47.000000000000085E+0	2.605606799217912E+0	63.823582349584093E+0
48.000000000000085E+0	790.673695593301470E-3	25.054486406696885E+0
49.000000000000085E+0	696.321388008849570E-3	22.012288826101766E+0
50.000000000000085E+0	3.024662458978299E+0	79.277084025297867E+0
51.000000000000085E+0	3.981097006536628E+0	102.973877494020510E+0
52.000000000000085E+0	1.533155540174020E+0	53.011605120963182E+0
53.000000000000085E+0	700.830514126402070E-3	26.058825943610636E+0
54.000000000000085E+0	1.991857514127586E+0	62.928786678020934E+0
55.000000000000085E+0	2.783135335743565E+0	86.651014777867800E+0
56.000000000000085E+0	3.086456167429844E+0	91.683905885371715E+0
57.000000000000085E+0	2.604511408855018E+0	60.239470518851817E+0
58.000000000000085E+0	915.704419412045610E-3	17.271576671435106E+0
59.000000000000085E+0	4.028293319070670E+0	88.232482235898615E+0
60.000000000000085E+0	10.406173484489354E+0	185.810898452075780E+0
61.000000000000085E+0	8.076280030609599E+0	119.324770600912610E+0
62.000000000000085E+0	4.336871444547052E+0	49.310229611184511E+0
63.000000000000085E+0	12.845759913624637E+0	154.547388990870900E+0
64.000000000000085E+0	20.647304951616242E+0	229.635062669393330E+0
65.000000000000085E+0	30.501866130189949E+0	318.433979888742160E+0
66.000000000000085E+0	23.955603250330675E+0	307.847581537328550E+0
67.000000000000085E+0	3.282649831732178E+0	85.909956372743096E+0
68.000000000000085E+0	10.146482634652454E+0	115.397566320469880E+0
69.000000000000085E+0	15.869770452406735E+0	309.690052092974270E+0
70.000000000000085E+0	7.228022634395293E+0	291.024971405527990E+0
71.000000000000085E+0	1.791396098349218E+0	98.252903283140966E+0
72.000000000000085E+0	220.238100435535160E-3	89.552482454162231E+0
73.000000000000085E+0	424.252998770788040E-3	227.832543173111700E+0
74.000000000000085E+0	2.419094660233809E+0	239.644480287394200E+0
75.000000000000085E+0	2.118691965758329E+0	236.060266554618410E+0
76.000000000000085E+0	2.466839390242018E+0	188.045597495953100E+0
77.000000000000085E+0	1.442549277486015E+0	79.123203242440809E+0
78.000000000000085E+0	3.072628629129385E+0	359.156371390530920E+0
79.000000000000085E+0	6.476422548818758E+0	450.215978015280770E+0
80.000000000000085E+0	2.842114067339357E+0	137.273147424516910E+0
81.000000000000085E+0	1.131420476697131E+0	75.249961322573284E+0
82.000000000000085E+0	2.926879790131530E+0	162.547517327928370E+0
83.000000000000085E+0	4.760112084427395E+0	229.944019103417530E+0
84.000000000000085E+0	3.568508015259113E+0	142.309847975948800E+0
85.000000000000085E+0	1.308335999229381E+0	54.070954677077225E+0
86.000000000000085E+0	699.025732824405170E-3	39.691792072018302E+0
87.000000000000085E+0	185.828563846813480E-3	45.951795739745734E+0
88.000000000000085E+0	4.323672319925473E+0	201.845125686409090E+0
89.000000000000085E+0	4.921617258917545E+0	152.944409864142270E+0
90.000000000000085E+0	208.972372473406220E-3	3.352628128135906E+0
91.000000000000085E+0	2.619189337222164E+0	60.007434630757913E+0
92.000000000000085E+0	4.496470960383532E+0	93.406457872043035E+0
93.000000000000085E+0	3.131295471410847E+0	54.125559843132279E+0
94.000000000000085E+0	3.270206001353017E+0	45.901201883930867E+0
95.000000000000085E+0	1.464321467746749E+0	23.402197988862053E+0
96.000000000000085E+0	3.003003934862399E+0	24.355500248155007E+0
97.000000000000085E+0	11.752425976601451E+0	100.351451908488490E+0
98.000000000000085E+0	8.852509181209552E+0	96.984057838464963E+0
99.000000000000085E+0	2.100929492040513E+0	36.996011674861272E+0
