Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
10.000000000000020E+0	2.190939493706594E-3	159.024365750702450E-3
11.000000000000021E+0	1.900368215514596E-3	356.905195188577550E-3
12.000000000000023E+0	2.513807675231887E-3	877.341810557861420E-3
13.000000000000025E+0	246.749349977974820E-6	976.696298061393570E-3
14.000000000000027E+0	10.429545156700084E-3	1.753398510945226E+0
15.000000000000028E+0	7.373335368028730E-3	2.386356241748353E+0
16.000000000000032E+0	6.157999713273467E-3	3.085603985691769E+0
17.000000000000036E+0	10.078524709753631E-3	4.295115051180273E+0
18.000000000000039E+0	31.620668026182915E-3	4.533209762764848E+0
19.000000000000043E+0	43.177350174481738E-3	4.984428693967412E+0
20.000000000000046E+0	43.804206966749318E-3	6.012451198124670E+0
21.000000000000050E+0	71.366246736559419E-3	7.736883960556886E+0
22.000000000000053E+0	120.520781899427010E-3	9.363792828232523E+0
23.000000000000057E+0	183.793226703584810E-3	10.478245747336157E+0
24.000000000000060E+0	313.693975823954310E-3	15.182116110369401E+0
25.000000000000064E+0	710.220726769262290E-3	23.181252532956577E+0
26.000000000000067E+0	1.191388013075017E+0	40.137548399320714E+0
27.000000000000071E+0	710.302499075710970E-3	34.388181578218386E+0
28.000000000000075E+0	683.447280530711910E-3	33.451894783915847E+0
29.000000000000078E+0	187.039375869076070E-3	18.653620046554135E+0
30.000000000000082E+0	103.382737274494850E-3	13.750357082500551E+0
31.000000000000085E+0	199.694151100554610E-3	21.196148649757703E+0
32.000000000000085E+0	462.905417842364940E-3	33.403910816082224E+0
33.000000000000085E+0	355.881097403431050E-3	31.262681514169323E+0
34.000000000000085E+0	332.524419106814520E-3	21.461875685221237E+0
35.000000000000085E+0	215.361189499272710E-3	16.024105555055947E+0
36.000000000000085E+0	452.741539380308590E-3	31.573379062299704E+0
37.000000000000085E+0	1.167361459673077E+0	54.332278617014616E+0
38.000000000000085E+0	887.143805231894290E-3	40.792160740694108E+0
39.000000000000085E+0	431.947627532762830E-3	17.277643283815024E+0
40.000000000000085E+0	1.158210654492587E+0	34.227376344709576E+0
41.000000000000085E+0	2.764366042088754E+0	76.119703357505557E+0
42.000000000000085E+0	2.209748135299243E+0	72.275419332646862E+0
43.000000000000085E+0	757.738736572644570E-3	31.458330091514643E+0
44.000000000000085E+0	370.580804287445660E-3	17.938352512715021E+0
45.000000000000085E+0	1.150722335223385E+0	43.186897689713604E+0
46.000000000000085E+0	2.279559555153194E+0	72.123195975442400E+0
47.000000000000085E+0	2.219230472315532E+0	64.905265197163231E+0
48.000000000000085E+0	806.974639138087420E-3	25.009498905468625E+0
49.000000000000085E+0	738.398514530853480E-3	21.505596291148358E+0
50.000000000000085E+0	3.789850796632811E+0	81.188422253421208E+0
51.000000000000085E+0	7.256342691010731E+0	118.553529512162190E+0
52.000000000000085E+0	4.502727524292500E+0	67.111837504103477E+0
53.000000000000085E+0	2.560331682559480E+0	35.601581282057104E+0
54.000000000000085E+0	5.458235244968018E+0	78.015624725771886E+0
55.000000000000085E+0	6.910140587487122E+0	104.468198215662820E+0
56.000000000000085E+0	6.431456114306441E+0	109.572279571361830E+0
57.000000000000085E+0	3.437098006418471E+0	66.348250500563878E+0
58.000000000000085E+0	731.485818047264420E-3	18.065308820873771E+0
59.000000000000085E+0	6.992675835099405E+0	101.506275925618110E+0
60.000000000000085E+0	21.234626650174430E+0	217.086015369178710E+0
61.000000000000085E+0	17.308449800018003E+0	138.256190557664240E+0
62.000000000000085E+0	7.753934121852335E+0	52.862490101399736E+0
63.000000000000085E+0	28.040447538686827E+0	172.071397798521620E+0
64.000000000000085E+0	45.356889529877364E+0	248.117761529879150E+0
65.000000000000085E+0	67.145122700324663E+0	339.231589866322680E+0
66.000000000000085E+0	68.727892845715587E+0	339.060082557445580E+0
67.000000000000085E+0	20.304989419384249E+0	104.369359806900050E+0
68.000000000000085E+0	19.617610249402542E+0	122.992873106534830E+0
69.000000000000085E+0	48.589007778653418E+0	316.899593285622020E+0
70.000000000000085E+0	47.988305567293743E+0	298.436824459341610E+0
71.000000000000085E+0	18.056033309056168E+0	100.949805690229280E+0
72.000000000000085E+0	15.195872832822484E+0	97.277751831177511E+0
73.000000000000085E+0	40.086839680854091E+0	240.631006073311340E+0
74.000000000000085E+0	47.570640521144064E+0	252.167415886754210E+0
75.000000000000085E+0	51.366929011016907E+0	244.225008336673080E+0
76.000000000000085E+0	43.158377138806074E+0	183.351225368155640E+0
77.000000000000085E+0	26.533240260870990E+0	79.562756161599637E+0
78.000000000000085E+0	90.679325086875380E+0	349.648513413116570E+0
79.000000000000085E+0	102.875086314535140E+0	391.690424711337870E+0
80.000000000000085E+0	32.847705486251101E+0	106.319685498354990E+0
81.000000000000085E+0	22.030864667110446E+0	57.273111106711880E+0
82.000000000000085E+0	42.367750243000820E+0	126.288359474992220E+0
83.000000000000085E+0	56.103909861352562E+0	183.587245906006220E+0
84.000000000000085E+0	32.123134643890715E+0	118.277935931303630E+0
85.000000000000085E+0	12.507094098446679E+0	45.395840442948369E+0
86.000000000000085E+0	9.091282321374205E+0	34.739097013842773E+0
87.000000000000085E+0	15.407321374851040E+0	40.926867696023848E+0
88.000000000000085E+0	55.509776181541476E+0	189.069724627616100E+0
89.000000000000085E+0	35.582231497418370E+0	148.955514777375380E+0
90.000000000000085E+0	74.364080426614548E-3	3.604676483195845E+0
91.000000000000085E+0	18.184623592804382E+0	59.864693159397163E+0
92.000000000000085E+0	21.990026188754655E+0	93.733859245881405E+0
93.000000000000085E+0	11.056374500264500E+0	55.126839091032274E+0
94.000000000000085E+0	8.579916923159340E+0	46.787804860740671E+0
95.000000000000085E+0	3.478071267634513E+0	22.615514386986675E+0
96.000000000000085E+0	2.661531340497402E+0	23.500644080964928E+0
97.000000000000085E+0	9.867028817075829E+0	97.777493057788490E+0
98.000000000000085E+0	7.815691120797190E+0	94.112639946662256E+0
99.000000000000085E+0	2.737116919191995E+0	36.221523699034961E+0
