Freq (Hz)	Coh_accelerometre /source
source
source
10.000000000000018E+0	980.253942320028380E-3
11.000000000000020E+0	985.098516059435990E-3
12.000000000000021E+0	972.765692866263020E-3
13.000000000000023E+0	753.913701102643110E-3
14.000000000000025E+0	995.842409052012160E-3
15.000000000000027E+0	994.538260345316890E-3
16.000000000000028E+0	991.238017367402360E-3
17.000000000000028E+0	996.879422183621580E-3
18.000000000000028E+0	999.091916075047440E-3
19.000000000000028E+0	999.143492447469470E-3
20.000000000000028E+0	998.902823790758450E-3
21.000000000000028E+0	999.376113161223320E-3
22.000000000000028E+0	999.649884352692420E-3
23.000000000000028E+0	999.659580645144710E-3
24.000000000000028E+0	999.871149924807080E-3
25.000000000000028E+0	999.915935078915850E-3
26.000000000000028E+0	999.977157678693440E-3
27.000000000000028E+0	999.794495819638420E-3
28.000000000000028E+0	999.856637164652230E-3
29.000000000000028E+0	999.718250388490710E-3
30.000000000000028E+0	999.496770819058520E-3
31.000000000000028E+0	999.703776489568870E-3
32.000000000000028E+0	999.929089282657000E-3
33.000000000000028E+0	999.847657731682490E-3
34.000000000000028E+0	999.794597646938680E-3
35.000000000000028E+0	999.808684863676470E-3
36.000000000000028E+0	999.945614143224800E-3
37.000000000000028E+0	999.933635481372480E-3
38.000000000000028E+0	999.897521053757840E-3
39.000000000000028E+0	999.845759032799150E-3
40.000000000000028E+0	999.936055189607490E-3
41.000000000000028E+0	999.985879277607620E-3
42.000000000000028E+0	999.971983761684170E-3
43.000000000000028E+0	999.821010544158510E-3
44.000000000000028E+0	999.347222635333600E-3
45.000000000000028E+0	999.889287474695410E-3
46.000000000000028E+0	999.933884633587570E-3
47.000000000000028E+0	999.948860789365180E-3
48.000000000000028E+0	999.730313776778340E-3
49.000000000000028E+0	999.721200998733630E-3
50.000000000000028E+0	999.916189430335670E-3
51.000000000000028E+0	999.988029561982960E-3
52.000000000000028E+0	999.966434418060550E-3
53.000000000000028E+0	999.947584916728530E-3
54.000000000000028E+0	999.937452762875160E-3
55.000000000000028E+0	999.968743634468750E-3
56.000000000000028E+0	999.970418086597590E-3
57.000000000000028E+0	999.935366794855840E-3
58.000000000000028E+0	999.403135767116370E-3
59.000000000000028E+0	999.957255188315690E-3
60.000000000000028E+0	999.988931254616630E-3
61.000000000000028E+0	999.984275036390980E-3
62.000000000000028E+0	999.956050121148520E-3
63.000000000000028E+0	999.983887786333290E-3
64.000000000000028E+0	999.991857223679000E-3
65.000000000000028E+0	999.990281798441180E-3
66.000000000000028E+0	999.990180966419560E-3
67.000000000000028E+0	999.975832322979930E-3
68.000000000000028E+0	999.964203824337040E-3
69.000000000000028E+0	999.989409167741930E-3
70.000000000000028E+0	999.975152351941010E-3
71.000000000000028E+0	999.942476289271910E-3
72.000000000000028E+0	999.920205978333200E-3
73.000000000000028E+0	999.972608644672630E-3
74.000000000000028E+0	999.958047968574680E-3
75.000000000000028E+0	999.952852358450770E-3
76.000000000000028E+0	999.976381808022400E-3
77.000000000000028E+0	999.941622312031650E-3
78.000000000000028E+0	999.967757817531440E-3
79.000000000000028E+0	999.984119027572340E-3
80.000000000000028E+0	999.964958606339490E-3
81.000000000000028E+0	999.951024856946980E-3
82.000000000000028E+0	999.975425366724230E-3
83.000000000000028E+0	999.969825596516370E-3
84.000000000000028E+0	999.952835171948880E-3
85.000000000000028E+0	999.908071223913120E-3
86.000000000000028E+0	999.827364706768140E-3
87.000000000000028E+0	999.898866535004480E-3
88.000000000000028E+0	999.972463804860270E-3
89.000000000000028E+0	999.964608412667650E-3
90.000000000000028E+0	981.839274197138790E-3
91.000000000000028E+0	999.886867640320090E-3
92.000000000000028E+0	999.916215160316810E-3
93.000000000000028E+0	999.822931251771350E-3
94.000000000000028E+0	999.878242969721940E-3
95.000000000000028E+0	999.725839597592760E-3
96.000000000000028E+0	999.637122578218910E-3
97.000000000000028E+0	999.890648980786940E-3
98.000000000000028E+0	999.868829427521870E-3
99.000000000000028E+0	999.760348638215280E-3
100.000000000000030E+0	998.878578385620220E-3
101.000000000000030E+0	999.901525336513550E-3
102.000000000000030E+0	999.942439820201370E-3
103.000000000000030E+0	999.676468732079270E-3
104.000000000000030E+0	999.871643404275030E-3
105.000000000000030E+0	999.552427220224640E-3
106.000000000000030E+0	999.815142251071930E-3
107.000000000000030E+0	999.953627987916980E-3
108.000000000000030E+0	999.920073017590120E-3
109.000000000000030E+0	998.408918709590590E-3
110.000000000000030E+0	999.839268450592570E-3
111.000000000000030E+0	999.910631007139170E-3
112.000000000000030E+0	999.771464264799350E-3
113.000000000000030E+0	999.477931093027180E-3
114.000000000000030E+0	985.568692465980440E-3
115.000000000000030E+0	999.551318211713500E-3
116.000000000000030E+0	999.704358439446380E-3
117.000000000000030E+0	999.791253366171250E-3
118.000000000000030E+0	999.854437230517700E-3
119.000000000000030E+0	998.747592843142960E-3
120.000000000000030E+0	999.958405288711270E-3
121.000000000000030E+0	999.958615819972920E-3
122.000000000000030E+0	999.847266368473210E-3
123.000000000000030E+0	999.938287183494760E-3
124.000000000000030E+0	999.921297338428050E-3
125.000000000000030E+0	999.960369034224470E-3
126.000000000000030E+0	999.952406628396350E-3
127.000000000000030E+0	999.917502732762360E-3
128.000000000000030E+0	999.766440747870130E-3
129.000000000000030E+0	999.933072201481640E-3
130.000000000000030E+0	999.939284703673330E-3
131.000000000000030E+0	999.945767106870330E-3
132.000000000000030E+0	999.885743637937810E-3
133.000000000000030E+0	999.965558411677780E-3
134.000000000000030E+0	999.920489715177440E-3
135.000000000000030E+0	999.849726438897470E-3
136.000000000000030E+0	999.933330042761190E-3
137.000000000000030E+0	999.577965931108480E-3
138.000000000000030E+0	999.789130059816070E-3
139.000000000000030E+0	999.896472385537360E-3
140.000000000000030E+0	999.791546178958270E-3
141.000000000000030E+0	999.564189397300070E-3
142.000000000000030E+0	999.224533054485110E-3
143.000000000000030E+0	999.526934714926930E-3
144.000000000000030E+0	999.661170236140760E-3
145.000000000000030E+0	999.665192304148300E-3
146.000000000000030E+0	999.708536074659810E-3
147.000000000000030E+0	999.065915291983960E-3
148.000000000000030E+0	999.824442786536150E-3
149.000000000000030E+0	999.863646555979030E-3
150.000000000000030E+0	999.550917930002610E-3
151.000000000000030E+0	998.060245957940850E-3
152.000000000000030E+0	999.620971111666030E-3
153.000000000000030E+0	999.585317125385230E-3
154.000000000000030E+0	999.525637570739420E-3
155.000000000000030E+0	999.747598105170780E-3
156.000000000000030E+0	999.228733477733670E-3
157.000000000000030E+0	999.762811762645030E-3
158.000000000000030E+0	999.757076154389690E-3
159.000000000000030E+0	999.537691882046660E-3
160.000000000000030E+0	999.016498727345550E-3
161.000000000000030E+0	999.255053554896850E-3
162.000000000000030E+0	999.702683936126270E-3
163.000000000000030E+0	999.223799656310920E-3
164.000000000000030E+0	998.842746290420580E-3
165.000000000000030E+0	999.323356006508900E-3
166.000000000000030E+0	999.206784059303520E-3
167.000000000000030E+0	999.857577590972490E-3
168.000000000000030E+0	999.752714438325700E-3
169.000000000000030E+0	998.439622111474080E-3
170.000000000000030E+0	998.373982831796240E-3
171.000000000000030E+0	999.558184081282390E-3
172.000000000000030E+0	999.549613227916470E-3
173.000000000000030E+0	999.178811391433720E-3
174.000000000000030E+0	998.953615615341350E-3
175.000000000000030E+0	999.346898398875690E-3
176.000000000000030E+0	999.713815663450080E-3
177.000000000000030E+0	999.584205949714200E-3
178.000000000000030E+0	999.470525554739250E-3
179.000000000000030E+0	993.178287449846370E-3
180.000000000000030E+0	998.541388781080450E-3
181.000000000000030E+0	999.243764515328040E-3
182.000000000000030E+0	997.956297335209850E-3
183.000000000000030E+0	999.105102090491530E-3
184.000000000000030E+0	999.190384284127430E-3
185.000000000000030E+0	999.357780359762300E-3
186.000000000000030E+0	999.520626723979900E-3
187.000000000000030E+0	999.384345556523330E-3
188.000000000000030E+0	998.426468315393830E-3
189.000000000000030E+0	999.015136306219740E-3
190.000000000000030E+0	999.688584029093330E-3
191.000000000000030E+0	999.792052343716930E-3
192.000000000000030E+0	999.595192737143700E-3
193.000000000000030E+0	999.206757853269960E-3
194.000000000000030E+0	999.595146917356180E-3
195.000000000000030E+0	999.642113270609480E-3
196.000000000000030E+0	999.726971635154670E-3
197.000000000000030E+0	999.673201419892130E-3
198.000000000000030E+0	998.294091350179990E-3
199.000000000000030E+0	999.721225516886690E-3
200.000000000000030E+0	999.659803157388450E-3
201.000000000000030E+0	999.052980900014150E-3
202.000000000000030E+0	999.027117911894250E-3
203.000000000000030E+0	999.061146521010520E-3
204.000000000000030E+0	999.607956752267100E-3
205.000000000000030E+0	999.354836762010310E-3
206.000000000000030E+0	999.213888041458500E-3
207.000000000000030E+0	998.454894373197120E-3
208.000000000000030E+0	998.786277944891940E-3
209.000000000000030E+0	999.562413990962130E-3
210.000000000000030E+0	999.412578798390290E-3
211.000000000000030E+0	997.767589828511880E-3
212.000000000000030E+0	999.211139593100040E-3
213.000000000000030E+0	999.214366172643480E-3
214.000000000000030E+0	998.292700579388900E-3
215.000000000000030E+0	998.285701336337980E-3
216.000000000000030E+0	996.818882611710250E-3
217.000000000000030E+0	996.141306335184160E-3
218.000000000000030E+0	998.962958568322070E-3
219.000000000000030E+0	998.688931499872590E-3
220.000000000000030E+0	997.556067752534910E-3
221.000000000000030E+0	996.575083430366710E-3
222.000000000000030E+0	999.161543143561980E-3
223.000000000000030E+0	999.368380396478910E-3
224.000000000000030E+0	997.212390495419650E-3
225.000000000000030E+0	998.089266984467760E-3
226.000000000000030E+0	996.147889426943880E-3
227.000000000000030E+0	998.001291078111200E-3
228.000000000000030E+0	998.951993316304350E-3
229.000000000000030E+0	997.956158801271200E-3
230.000000000000030E+0	994.917656757708490E-3
231.000000000000030E+0	998.761086778825910E-3
232.000000000000030E+0	998.755882164624740E-3
233.000000000000030E+0	997.548469584933040E-3
234.000000000000030E+0	998.163391925110940E-3
235.000000000000030E+0	997.507836157623840E-3
236.000000000000030E+0	999.029799389836270E-3
237.000000000000030E+0	999.583567887534770E-3
238.000000000000030E+0	999.736325504979150E-3
239.000000000000030E+0	999.141719076179100E-3
240.000000000000030E+0	998.432350921645950E-3
241.000000000000030E+0	999.545657909673530E-3
242.000000000000030E+0	999.032549817393530E-3
243.000000000000030E+0	997.856249964636510E-3
244.000000000000030E+0	999.283267024063780E-3
245.000000000000030E+0	998.595940451407320E-3
246.000000000000030E+0	999.553093487896120E-3
247.000000000000030E+0	999.332404282791460E-3
248.000000000000030E+0	998.292931737600360E-3
249.000000000000030E+0	996.293640420113260E-3
250.000000000000030E+0	998.472223334082700E-3
251.000000000000030E+0	999.203334394193510E-3
252.000000000000030E+0	998.405294565495650E-3
253.000000000000030E+0	998.274223820942110E-3
254.000000000000030E+0	998.522182617066710E-3
255.000000000000030E+0	998.781781182004340E-3
256.000000000000060E+0	999.104934685669960E-3
257.000000000000060E+0	999.305329967088650E-3
258.000000000000060E+0	998.211962223212180E-3
259.000000000000060E+0	998.962274750425200E-3
260.000000000000060E+0	999.530203259666240E-3
261.000000000000060E+0	998.325619512500650E-3
262.000000000000060E+0	997.702732798858900E-3
263.000000000000060E+0	997.938488331423180E-3
264.000000000000060E+0	998.677661250291890E-3
265.000000000000060E+0	999.122698664388850E-3
266.000000000000060E+0	999.299438798078920E-3
267.000000000000060E+0	999.465809570110440E-3
268.000000000000060E+0	998.158048132470440E-3
269.000000000000060E+0	999.422046659541600E-3
270.000000000000060E+0	999.583453707846960E-3
271.000000000000060E+0	998.382185213885660E-3
272.000000000000060E+0	999.162367385532990E-3
273.000000000000060E+0	999.499757974501860E-3
274.000000000000060E+0	999.630243276091730E-3
275.000000000000060E+0	999.508153066939300E-3
276.000000000000060E+0	999.425841467807880E-3
277.000000000000060E+0	997.212592644142750E-3
278.000000000000060E+0	999.128916115404440E-3
279.000000000000060E+0	999.388050661569330E-3
280.000000000000060E+0	999.152872274157720E-3
281.000000000000060E+0	998.581582641972280E-3
282.000000000000060E+0	998.760061547826590E-3
283.000000000000060E+0	999.463112419728070E-3
284.000000000000060E+0	998.288328866628880E-3
285.000000000000060E+0	998.642309965633970E-3
286.000000000000060E+0	999.283445154452330E-3
287.000000000000060E+0	998.451944468251580E-3
288.000000000000060E+0	999.563301295965380E-3
289.000000000000060E+0	999.364315566376950E-3
290.000000000000060E+0	998.018280076069410E-3
291.000000000000060E+0	998.554599859864170E-3
292.000000000000060E+0	999.224542274261720E-3
293.000000000000060E+0	999.170106781438140E-3
294.000000000000060E+0	999.076078898051830E-3
295.000000000000060E+0	999.027515439877780E-3
296.000000000000060E+0	998.611353592228520E-3
297.000000000000060E+0	998.722768850794920E-3
298.000000000000060E+0	999.256534915103360E-3
299.000000000000060E+0	999.041805839960830E-3
300.000000000000060E+0	997.056990186526490E-3
301.000000000000060E+0	998.811852967432580E-3
302.000000000000060E+0	999.321324761645810E-3
303.000000000000060E+0	998.050502784105450E-3
304.000000000000060E+0	999.475358162976060E-3
305.000000000000060E+0	998.989921455011530E-3
306.000000000000060E+0	998.261664559323640E-3
307.000000000000060E+0	998.895752160420920E-3
308.000000000000060E+0	998.690070404209100E-3
309.000000000000060E+0	998.557485408235410E-3
310.000000000000060E+0	999.079461698526680E-3
311.000000000000060E+0	999.561428386562700E-3
312.000000000000060E+0	999.389892696995070E-3
313.000000000000060E+0	998.333795064710760E-3
314.000000000000060E+0	998.837645926075050E-3
315.000000000000060E+0	998.899805088479420E-3
316.000000000000060E+0	998.782210452447970E-3
317.000000000000060E+0	999.403124859877150E-3
318.000000000000060E+0	999.014736773492620E-3
319.000000000000060E+0	997.172817930152220E-3
320.000000000000060E+0	999.592698575173410E-3
