Freq (Hz)	Coh_accelerometre /source
source
source
10.000000000000018E+0	987.459798800508710E-3
11.000000000000020E+0	993.224555301574270E-3
12.000000000000021E+0	984.930851784171610E-3
13.000000000000023E+0	976.943322449532750E-3
14.000000000000025E+0	998.800820490405080E-3
15.000000000000027E+0	998.531206435486320E-3
16.000000000000028E+0	994.484027331465790E-3
17.000000000000028E+0	999.607798377470160E-3
18.000000000000028E+0	998.049775363514470E-3
19.000000000000028E+0	998.256082988757230E-3
20.000000000000028E+0	998.733329986084770E-3
21.000000000000028E+0	998.894594048805870E-3
22.000000000000028E+0	998.236993907291260E-3
23.000000000000028E+0	999.704270103207390E-3
24.000000000000028E+0	999.446977976247600E-3
25.000000000000028E+0	999.694884356051250E-3
26.000000000000028E+0	999.893061672189830E-3
27.000000000000028E+0	999.600525999738140E-3
28.000000000000028E+0	999.378319807745940E-3
29.000000000000028E+0	998.457073490175320E-3
30.000000000000028E+0	997.639371536378720E-3
31.000000000000028E+0	999.917328021424860E-3
32.000000000000028E+0	999.655525782975900E-3
33.000000000000028E+0	999.617707107190220E-3
34.000000000000028E+0	999.711934665410530E-3
35.000000000000028E+0	999.629361583262880E-3
36.000000000000028E+0	999.132607677711610E-3
37.000000000000028E+0	988.293365829325700E-3
38.000000000000028E+0	998.160051328515040E-3
39.000000000000028E+0	999.423532762092840E-3
40.000000000000028E+0	999.367224871954060E-3
41.000000000000028E+0	999.826816557004890E-3
42.000000000000028E+0	999.932434742302310E-3
43.000000000000028E+0	999.883243541342730E-3
44.000000000000028E+0	999.630605052246320E-3
45.000000000000028E+0	999.868765345085510E-3
46.000000000000028E+0	999.889165760606270E-3
47.000000000000028E+0	999.827859134606700E-3
48.000000000000028E+0	999.803525817940740E-3
49.000000000000028E+0	999.894753758893140E-3
50.000000000000028E+0	999.910542480228150E-3
51.000000000000028E+0	999.935525519881960E-3
52.000000000000028E+0	999.880409821117030E-3
53.000000000000028E+0	999.642919879083270E-3
54.000000000000028E+0	999.819485474990550E-3
55.000000000000028E+0	999.927550143865580E-3
56.000000000000028E+0	999.916660399101540E-3
57.000000000000028E+0	999.902406899569000E-3
58.000000000000028E+0	999.116238806165620E-3
59.000000000000028E+0	999.837603114882230E-3
60.000000000000028E+0	999.979676654056630E-3
61.000000000000028E+0	999.957718049226170E-3
62.000000000000028E+0	998.858577025432460E-3
63.000000000000028E+0	999.637926034859350E-3
64.000000000000028E+0	999.800754129404500E-3
65.000000000000028E+0	999.726648837821920E-3
66.000000000000028E+0	999.790716686768670E-3
67.000000000000028E+0	999.570115693284020E-3
68.000000000000028E+0	999.742779273899100E-3
69.000000000000028E+0	999.714606457436370E-3
70.000000000000028E+0	999.779792062142400E-3
71.000000000000028E+0	999.837831204805400E-3
72.000000000000028E+0	999.901734462019580E-3
73.000000000000028E+0	999.903667340288680E-3
74.000000000000028E+0	999.942949958280920E-3
75.000000000000028E+0	999.936537860673160E-3
76.000000000000028E+0	999.840372165984650E-3
77.000000000000028E+0	999.901615533796310E-3
78.000000000000028E+0	999.941484167744640E-3
79.000000000000028E+0	999.941908772908780E-3
80.000000000000028E+0	999.632615359800190E-3
81.000000000000028E+0	999.680169007967740E-3
82.000000000000028E+0	999.877152577497430E-3
83.000000000000028E+0	999.913450670855800E-3
84.000000000000028E+0	999.623452774400010E-3
85.000000000000028E+0	997.689723078302060E-3
86.000000000000028E+0	994.549281001314230E-3
87.000000000000028E+0	999.309224834483810E-3
88.000000000000028E+0	999.882973118362050E-3
89.000000000000028E+0	999.873829240903290E-3
90.000000000000028E+0	995.225130466150800E-3
91.000000000000028E+0	999.801801329418980E-3
92.000000000000028E+0	999.806948452633180E-3
93.000000000000028E+0	999.331824678364680E-3
94.000000000000028E+0	998.961142044739180E-3
95.000000000000028E+0	996.525949154886130E-3
96.000000000000028E+0	998.759807389100310E-3
97.000000000000028E+0	999.806328091539240E-3
98.000000000000028E+0	999.711258280084450E-3
99.000000000000028E+0	999.172693941140170E-3
100.000000000000030E+0	996.185918436499170E-3
101.000000000000030E+0	999.389010217574420E-3
102.000000000000030E+0	999.006057766711590E-3
103.000000000000030E+0	990.329396830312070E-3
104.000000000000030E+0	998.857744958000390E-3
105.000000000000030E+0	995.019843868745200E-3
106.000000000000030E+0	999.646508196483710E-3
107.000000000000030E+0	999.546392394656810E-3
108.000000000000030E+0	999.235562354106150E-3
109.000000000000030E+0	994.676504889359990E-3
110.000000000000030E+0	997.954997424971400E-3
111.000000000000030E+0	998.710163646355010E-3
112.000000000000030E+0	996.685016802388630E-3
113.000000000000030E+0	994.662383483468360E-3
114.000000000000030E+0	997.882462085560310E-3
115.000000000000030E+0	998.976834624847320E-3
116.000000000000030E+0	999.423828970331440E-3
117.000000000000030E+0	998.759566260155160E-3
118.000000000000030E+0	972.736320472452290E-3
119.000000000000030E+0	996.882960794206240E-3
120.000000000000030E+0	999.111585880585460E-3
121.000000000000030E+0	999.504397889232070E-3
122.000000000000030E+0	998.551281410830490E-3
123.000000000000030E+0	999.342105545415910E-3
124.000000000000030E+0	997.951580318836350E-3
125.000000000000030E+0	999.058845317413290E-3
126.000000000000030E+0	998.572151318723460E-3
127.000000000000030E+0	997.214250720017790E-3
128.000000000000030E+0	986.971816646300180E-3
129.000000000000030E+0	998.965359905788610E-3
130.000000000000030E+0	999.455150605047080E-3
131.000000000000030E+0	999.411724611149020E-3
132.000000000000030E+0	999.096247262030830E-3
133.000000000000030E+0	999.523179085066490E-3
134.000000000000030E+0	999.848823304443020E-3
135.000000000000030E+0	999.594997640007030E-3
136.000000000000030E+0	999.436797140300650E-3
137.000000000000030E+0	998.419157758763440E-3
138.000000000000030E+0	998.898516249785870E-3
139.000000000000030E+0	999.787493903169790E-3
140.000000000000030E+0	999.611362031778690E-3
141.000000000000030E+0	999.609918190368260E-3
142.000000000000030E+0	999.841015651151350E-3
143.000000000000030E+0	999.846765770828650E-3
144.000000000000030E+0	999.849553407654250E-3
145.000000000000030E+0	999.738422822520010E-3
146.000000000000030E+0	999.281478270903410E-3
147.000000000000030E+0	998.829201466549190E-3
148.000000000000030E+0	999.684229657009430E-3
149.000000000000030E+0	999.744002781048580E-3
150.000000000000030E+0	999.446431242891010E-3
151.000000000000030E+0	998.773049263918410E-3
152.000000000000030E+0	999.169765222587940E-3
153.000000000000030E+0	999.543415215092490E-3
154.000000000000030E+0	998.622374382250650E-3
155.000000000000030E+0	999.103252587787650E-3
156.000000000000030E+0	966.465863392769850E-3
157.000000000000030E+0	998.966443710917250E-3
158.000000000000030E+0	999.565501257077880E-3
159.000000000000030E+0	999.295243282291580E-3
160.000000000000030E+0	998.720222291846540E-3
161.000000000000030E+0	999.537515996871460E-3
162.000000000000030E+0	999.850662816391790E-3
163.000000000000030E+0	999.736651503399410E-3
164.000000000000030E+0	999.333502597503530E-3
165.000000000000030E+0	998.133845106822460E-3
166.000000000000030E+0	997.515458209908060E-3
167.000000000000030E+0	999.564890771313830E-3
168.000000000000030E+0	999.480688268097770E-3
169.000000000000030E+0	998.071715337565220E-3
170.000000000000030E+0	997.832834543151190E-3
171.000000000000030E+0	998.915541466266380E-3
172.000000000000030E+0	998.422691879424230E-3
173.000000000000030E+0	995.624036167076840E-3
174.000000000000030E+0	996.627264692943830E-3
175.000000000000030E+0	998.950073358667700E-3
176.000000000000030E+0	999.587636438487800E-3
177.000000000000030E+0	999.505468816790480E-3
178.000000000000030E+0	999.453130476802620E-3
179.000000000000030E+0	995.849163549822560E-3
180.000000000000030E+0	999.245689847924940E-3
181.000000000000030E+0	999.173779735939790E-3
182.000000000000030E+0	994.439783836348010E-3
183.000000000000030E+0	997.804716873523230E-3
184.000000000000030E+0	998.992523779693280E-3
185.000000000000030E+0	999.338489108079430E-3
186.000000000000030E+0	999.442875538452680E-3
187.000000000000030E+0	999.040415377922100E-3
188.000000000000030E+0	995.552999139243330E-3
189.000000000000030E+0	998.973094800622460E-3
190.000000000000030E+0	999.632790191236410E-3
191.000000000000030E+0	999.668801062982060E-3
192.000000000000030E+0	999.139514216782930E-3
193.000000000000030E+0	998.868305109467340E-3
194.000000000000030E+0	999.308568000308650E-3
195.000000000000030E+0	999.459725402609410E-3
196.000000000000030E+0	999.514227773113270E-3
197.000000000000030E+0	999.234326496812650E-3
198.000000000000030E+0	997.697861608004000E-3
199.000000000000030E+0	999.665696747076610E-3
200.000000000000030E+0	999.430757044519560E-3
201.000000000000030E+0	999.038447333264740E-3
202.000000000000030E+0	999.108160525268410E-3
203.000000000000030E+0	998.162214378786720E-3
204.000000000000030E+0	999.566372541788040E-3
205.000000000000030E+0	999.033203497934230E-3
206.000000000000030E+0	999.232992560699420E-3
207.000000000000030E+0	999.107074244341200E-3
208.000000000000030E+0	935.584450556277040E-3
209.000000000000030E+0	951.184430142153260E-3
210.000000000000030E+0	929.224543772729890E-3
211.000000000000030E+0	964.881878240436250E-3
212.000000000000030E+0	969.952189660167160E-3
213.000000000000030E+0	995.798031074127340E-3
214.000000000000030E+0	997.656492299681340E-3
215.000000000000030E+0	975.371440560263370E-3
216.000000000000030E+0	997.784488359175880E-3
217.000000000000030E+0	997.974416148444290E-3
218.000000000000030E+0	999.304515700760730E-3
219.000000000000030E+0	998.721185590399680E-3
220.000000000000030E+0	997.454390673178540E-3
221.000000000000030E+0	996.294923422468500E-3
222.000000000000030E+0	997.807732980019790E-3
223.000000000000030E+0	998.214819774762560E-3
224.000000000000030E+0	996.990652470547080E-3
225.000000000000030E+0	998.893173812686270E-3
226.000000000000030E+0	996.967086255376780E-3
227.000000000000030E+0	998.669765048965540E-3
228.000000000000030E+0	999.124524987698660E-3
229.000000000000030E+0	997.890574458064500E-3
230.000000000000030E+0	987.400168354012790E-3
231.000000000000030E+0	997.699932356107880E-3
232.000000000000030E+0	998.942279185186410E-3
233.000000000000030E+0	998.979293748926690E-3
234.000000000000030E+0	998.879059421124980E-3
235.000000000000030E+0	993.670550866377460E-3
236.000000000000030E+0	996.509892929264950E-3
237.000000000000030E+0	998.012759281447610E-3
238.000000000000030E+0	997.752788950694750E-3
239.000000000000030E+0	983.344587952704850E-3
240.000000000000030E+0	992.152107246664580E-3
241.000000000000030E+0	997.674819533905580E-3
242.000000000000030E+0	995.249830676051220E-3
243.000000000000030E+0	985.220105339602250E-3
244.000000000000030E+0	998.419737228335770E-3
245.000000000000030E+0	998.949683156735380E-3
246.000000000000030E+0	997.787810402053780E-3
247.000000000000030E+0	985.075978027269430E-3
248.000000000000030E+0	996.276958247049650E-3
249.000000000000030E+0	998.115639898078830E-3
250.000000000000030E+0	999.200374957975090E-3
251.000000000000030E+0	990.687723403682160E-3
252.000000000000030E+0	968.097344841020830E-3
253.000000000000030E+0	948.404448383410980E-3
254.000000000000030E+0	998.764556968957830E-3
255.000000000000030E+0	999.441702146767640E-3
256.000000000000060E+0	999.066238720599630E-3
257.000000000000060E+0	988.063707134216540E-3
258.000000000000060E+0	987.409827009010370E-3
259.000000000000060E+0	995.312514784781000E-3
260.000000000000060E+0	996.808459950745520E-3
261.000000000000060E+0	995.327856522019160E-3
262.000000000000060E+0	997.779334006552160E-3
263.000000000000060E+0	998.020493636705530E-3
264.000000000000060E+0	998.493517518679650E-3
265.000000000000060E+0	997.114659669618870E-3
266.000000000000060E+0	975.072093053341750E-3
267.000000000000060E+0	994.749913578150460E-3
268.000000000000060E+0	966.587255216330930E-3
269.000000000000060E+0	997.136855323177640E-3
270.000000000000060E+0	998.151483603603730E-3
271.000000000000060E+0	993.698858727217970E-3
272.000000000000060E+0	997.334759018793310E-3
273.000000000000060E+0	996.745945675466930E-3
274.000000000000060E+0	992.790803736656070E-3
275.000000000000060E+0	993.978908892575900E-3
276.000000000000060E+0	998.061475075126100E-3
277.000000000000060E+0	995.357981435237900E-3
278.000000000000060E+0	997.068357023215390E-3
279.000000000000060E+0	998.510120751172740E-3
280.000000000000060E+0	998.235825226199250E-3
281.000000000000060E+0	997.793272505799190E-3
282.000000000000060E+0	995.662411131468800E-3
283.000000000000060E+0	997.735287015407480E-3
284.000000000000060E+0	996.277677924706780E-3
285.000000000000060E+0	997.053143114692620E-3
286.000000000000060E+0	997.574549394263490E-3
287.000000000000060E+0	995.189958252035820E-3
288.000000000000060E+0	998.522830392816640E-3
289.000000000000060E+0	997.408900834195200E-3
290.000000000000060E+0	989.655506153552470E-3
291.000000000000060E+0	995.965333763643270E-3
292.000000000000060E+0	996.869804149860820E-3
293.000000000000060E+0	994.922203696017360E-3
294.000000000000060E+0	994.044834800127620E-3
295.000000000000060E+0	995.568038453018330E-3
296.000000000000060E+0	993.091223407831180E-3
297.000000000000060E+0	993.956331408756390E-3
298.000000000000060E+0	996.827612975028640E-3
299.000000000000060E+0	996.197470106303110E-3
300.000000000000060E+0	990.415728223316470E-3
301.000000000000060E+0	996.434860103843970E-3
302.000000000000060E+0	998.349841556309350E-3
303.000000000000060E+0	994.090579650701360E-3
304.000000000000060E+0	997.828946415582280E-3
305.000000000000060E+0	994.056779886778320E-3
306.000000000000060E+0	991.591349959268340E-3
307.000000000000060E+0	996.239303269169760E-3
308.000000000000060E+0	993.427262300925590E-3
309.000000000000060E+0	987.405190924510400E-3
310.000000000000060E+0	987.540575355684740E-3
311.000000000000060E+0	995.462169062058530E-3
312.000000000000060E+0	994.282305745751940E-3
313.000000000000060E+0	982.590680496315370E-3
314.000000000000060E+0	989.835408323017310E-3
315.000000000000060E+0	995.157660615826890E-3
316.000000000000060E+0	993.949858564951550E-3
317.000000000000060E+0	996.429525232824580E-3
318.000000000000060E+0	996.122198310282260E-3
319.000000000000060E+0	986.120350964422960E-3
320.000000000000060E+0	996.317416791733690E-3
