Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
10.000000000000020E+0	1.245575653749020E-3	159.782278560120170E-3
11.000000000000021E+0	928.899760217997670E-6	379.194360967676340E-3
12.000000000000023E+0	734.822096160297820E-6	932.776397891487360E-3
13.000000000000025E+0	305.361745226364000E-6	989.000841979389870E-3
14.000000000000027E+0	7.644593099873578E-3	1.721541876723923E+0
15.000000000000028E+0	6.303729440647668E-3	2.328868244848041E+0
16.000000000000032E+0	3.332696703486646E-3	2.993721189292187E+0
17.000000000000036E+0	21.595880168518034E-3	4.497614860744005E+0
18.000000000000039E+0	7.576007641441232E-3	4.520205460404407E+0
19.000000000000043E+0	20.184568912302601E-3	4.672949725707517E+0
20.000000000000046E+0	32.945161531810964E-3	5.831519736145053E+0
21.000000000000050E+0	51.713638995437614E-3	8.175789185107988E+0
22.000000000000053E+0	44.613133328131452E-3	9.021759724904632E+0
23.000000000000057E+0	124.309866184897920E-3	10.584672620333839E+0
24.000000000000060E+0	217.688172317034300E-3	15.769991282629778E+0
25.000000000000064E+0	525.881557028201160E-3	22.547109864761531E+0
26.000000000000067E+0	1.476416257144083E+0	40.639289927547374E+0
27.000000000000071E+0	665.448908526882430E-3	29.412372362859497E+0
28.000000000000075E+0	443.492444559418770E-3	30.023267378852516E+0
29.000000000000078E+0	201.581186208160900E-3	16.833013662702818E+0
30.000000000000082E+0	390.276846264823780E-3	14.084238995337762E+0
31.000000000000085E+0	2.213905316296137E+0	22.063252101629395E+0
32.000000000000085E+0	2.251962110416005E+0	28.232939061411862E+0
33.000000000000085E+0	1.539712433666591E+0	28.111278244317628E+0
34.000000000000085E+0	1.267370702054489E+0	18.172266164851006E+0
35.000000000000085E+0	2.283784355386576E+0	14.005926092709618E+0
36.000000000000085E+0	3.474844677523689E+0	33.882329291681224E+0
37.000000000000085E+0	257.747906605129530E-3	54.040668418880855E+0
38.000000000000085E+0	571.082032794981710E-3	38.133691113361998E+0
39.000000000000085E+0	720.713652342490740E-3	16.511363073755625E+0
40.000000000000085E+0	920.204956753533860E-3	30.887671957780960E+0
41.000000000000085E+0	3.924024208684278E+0	69.868574597129040E+0
42.000000000000085E+0	5.120583152471154E+0	60.920091936033089E+0
43.000000000000085E+0	1.793751403027648E+0	27.148003122432982E+0
44.000000000000085E+0	1.342869315233940E+0	16.569510902018461E+0
45.000000000000085E+0	3.418993112490906E+0	43.106075122955609E+0
46.000000000000085E+0	5.417520280217341E+0	75.449039358479467E+0
47.000000000000085E+0	4.685371890633938E+0	63.894240191213065E+0
48.000000000000085E+0	2.889027532471067E+0	28.334362333392583E+0
49.000000000000085E+0	2.263953324191665E+0	26.313280723432150E+0
50.000000000000085E+0	5.835359041447442E+0	89.077239290645835E+0
51.000000000000085E+0	7.179927775647164E+0	125.664775143127290E+0
52.000000000000085E+0	2.571703486659464E+0	69.567472799712192E+0
53.000000000000085E+0	862.507113995669480E-3	34.171552496651785E+0
54.000000000000085E+0	1.865350057300206E+0	79.055899380563630E+0
55.000000000000085E+0	1.782915134998755E+0	105.016956860862340E+0
56.000000000000085E+0	1.522451944082471E+0	101.748292086833060E+0
57.000000000000085E+0	944.073140687237130E-3	61.406682354346699E+0
58.000000000000085E+0	244.804445834421930E-3	17.832978745489136E+0
59.000000000000085E+0	1.527313781729181E+0	100.214033032476720E+0
60.000000000000085E+0	5.371408280852538E+0	203.310134724272300E+0
61.000000000000085E+0	3.397177161404558E+0	112.447405823600060E+0
62.000000000000085E+0	433.213343669938410E-3	35.706273083639417E+0
63.000000000000085E+0	1.381145008389685E+0	131.931640681388840E+0
64.000000000000085E+0	1.944424312748109E+0	204.293999525184120E+0
65.000000000000085E+0	2.448376553837435E+0	292.059513473022550E+0
66.000000000000085E+0	3.312227176489773E+0	330.250969723636560E+0
67.000000000000085E+0	3.493735992420322E+0	113.703927314227910E+0
68.000000000000085E+0	3.675542628716713E+0	130.901821872066900E+0
69.000000000000085E+0	7.229191692564894E+0	346.331401793710710E+0
70.000000000000085E+0	13.225372087259899E+0	337.447175633003100E+0
71.000000000000085E+0	15.639093825828889E+0	120.998251695290380E+0
72.000000000000085E+0	24.959465808485504E+0	110.213041204771870E+0
73.000000000000085E+0	42.824328115087802E+0	290.345038323469960E+0
74.000000000000085E+0	46.723110565980470E+0	332.844894027165200E+0
75.000000000000085E+0	38.482826142910213E+0	332.307100554055070E+0
76.000000000000085E+0	14.374795616111466E+0	252.065307471891170E+0
77.000000000000085E+0	17.206372774690408E+0	121.418950253869820E+0
78.000000000000085E+0	56.550758058151452E+0	475.715154762453210E+0
79.000000000000085E+0	42.154428516705764E+0	489.312932354555130E+0
80.000000000000085E+0	7.144175534356842E+0	129.657643321797710E+0
81.000000000000085E+0	6.866837271101947E+0	65.765451776284934E+0
82.000000000000085E+0	14.514661371812863E+0	143.963489536191050E+0
83.000000000000085E+0	17.137069567695054E+0	202.449384257180840E+0
84.000000000000085E+0	5.984445098277506E+0	127.401198534730380E+0
85.000000000000085E+0	1.257170778608351E+0	51.298733132517086E+0
86.000000000000085E+0	711.753098589684050E-3	39.956415700701726E+0
87.000000000000085E+0	4.637780821457580E+0	45.215630853513872E+0
88.000000000000085E+0	18.969311363020800E+0	201.878003330290230E+0
89.000000000000085E+0	11.875058669599992E+0	158.084267069297310E+0
90.000000000000085E+0	302.322792875171160E-3	3.393903930019601E+0
91.000000000000085E+0	8.397865571263882E+0	61.786284016359687E+0
92.000000000000085E+0	8.120990585450588E+0	96.740158421778403E+0
93.000000000000085E+0	3.555137563907221E+0	57.680545820102829E+0
94.000000000000085E+0	2.619592725389996E+0	48.781543561406139E+0
95.000000000000085E+0	912.155248355835950E-3	24.365674458514682E+0
96.000000000000085E+0	2.665251632689134E+0	26.333952527379854E+0
97.000000000000085E+0	10.575475865563146E+0	106.800964806720910E+0
98.000000000000085E+0	7.245958297618033E+0	101.404792672760950E+0
99.000000000000085E+0	2.510525933088615E+0	38.884209267949181E+0
