Freq (Hz)	accelerometre /source_source_Mod	accelerometre /source_source_Phase(rad)
428.000000000000060E+0	682.739923251782230E-3	11.365813299012364E+0
429.000000000000060E+0	754.915419624879070E-3	11.362320375723451E+0
430.000000000000060E+0	616.299542329849400E-3	11.260174859940481E+0
431.000000000000060E+0	692.569731797076260E-3	10.932899798664648E+0
432.000000000000060E+0	611.179357020393500E-3	10.796717728972077E+0
433.000000000000060E+0	524.186094580929350E-3	10.330893173622309E+0
434.000000000000060E+0	614.886514246997470E-3	9.904568535290771E+0
435.000000000000060E+0	539.855816642079930E-3	9.670743356346538E+0
436.000000000000060E+0	571.410415475295030E-3	9.548564966121804E+0
437.000000000000060E+0	452.711848139265850E-3	9.438852107906554E+0
438.000000000000060E+0	372.189891352652960E-3	9.182066524751974E+0
439.000000000000060E+0	288.945952944906550E-3	8.896064916849745E+0
440.000000000000060E+0	122.508951945145180E-3	7.911306912474195E+0
441.000000000000060E+0	158.266758835114240E-3	7.887991639327263E+0
442.000000000000060E+0	120.524213262312610E-3	6.787034057214013E+0
443.000000000000060E+0	215.938104628936590E-3	6.525267812056058E+0
444.000000000000060E+0	214.648018196338030E-3	6.375862511217880E+0
445.000000000000060E+0	346.844371860467520E-3	6.055290637030449E+0
446.000000000000060E+0	283.164148960070640E-3	6.050345330132728E+0
447.000000000000060E+0	270.985848358124450E-3	5.638892768895629E+0
448.000000000000060E+0	286.257688875791670E-3	5.388684535835018E+0
449.000000000000060E+0	317.982830295044040E-3	5.140231795319125E+0
450.000000000000060E+0	397.982796785889270E-3	5.177915168294604E+0
451.000000000000060E+0	332.078881870499050E-3	5.211679332424922E+0
452.000000000000060E+0	310.891330960356820E-3	5.082234337244421E+0
453.000000000000060E+0	312.416306063642900E-3	5.155053658273078E+0
454.000000000000060E+0	254.601603352878290E-3	4.995015263402321E+0
455.000000000000060E+0	310.981831172873980E-3	4.985346430302852E+0
456.000000000000060E+0	285.958195161735930E-3	5.101650912533120E+0
457.000000000000060E+0	289.554722536306370E-3	5.066470173955068E+0
458.000000000000060E+0	310.608048507242220E-3	5.095396073220593E+0
459.000000000000060E+0	366.360920419180340E-3	5.226400599948874E+0
460.000000000000060E+0	372.594466117990410E-3	5.275959924453016E+0
461.000000000000060E+0	405.519432278847180E-3	5.325785399790440E+0
462.000000000000060E+0	428.033723809758680E-3	5.328790655414416E+0
463.000000000000060E+0	430.079412091832920E-3	5.164138868280823E+0
464.000000000000060E+0	651.330288975082270E-3	5.096677026104611E+0
465.000000000000060E+0	759.638774457722540E-3	5.142208582411143E+0
466.000000000000060E+0	820.496524799141480E-3	5.093350508861085E+0
467.000000000000060E+0	926.117218838987230E-3	4.885093954028580E+0
468.000000000000060E+0	1.178332485296771E+0	4.768544197493647E+0
469.000000000000060E+0	1.155295625378746E+0	4.635326010906323E+0
470.000000000000060E+0	1.287857882900151E+0	4.371206275015835E+0
471.000000000000060E+0	1.322500229811151E+0	4.185584058622629E+0
472.000000000000060E+0	1.246132271748423E+0	3.742463121385745E+0
473.000000000000060E+0	1.222296390220862E+0	3.648609985331435E+0
474.000000000000060E+0	937.239476145924730E-3	3.511540061565304E+0
475.000000000000060E+0	836.780005026625750E-3	3.352667355739238E+0
476.000000000000060E+0	731.148310686298150E-3	3.386281856058932E+0
477.000000000000060E+0	559.755320945101610E-3	3.327650690475261E+0
478.000000000000060E+0	564.271132172772580E-3	3.441353368233414E+0
479.000000000000060E+0	557.831290226964430E-3	3.520613945715304E+0
480.000000000000060E+0	621.539690217929540E-3	3.490604687731992E+0
481.000000000000060E+0	602.844557889856360E-3	3.356808820499092E+0
482.000000000000060E+0	790.123726142306970E-3	3.268272602866711E+0
483.000000000000060E+0	661.208948641960340E-3	3.351096433821891E+0
484.000000000000060E+0	621.123104963931300E-3	3.256728882423972E+0
485.000000000000060E+0	589.443602900162950E-3	3.274916152399182E+0
486.000000000000060E+0	534.884182097460580E-3	3.190375935141273E+0
487.000000000000060E+0	421.047253890216300E-3	3.023399125827194E+0
488.000000000000060E+0	463.636593915536130E-3	2.891199590245190E+0
489.000000000000060E+0	450.237428123626550E-3	2.841823070097511E+0
490.000000000000060E+0	434.060622835718560E-3	2.735416171674315E+0
491.000000000000060E+0	562.439036650654640E-3	2.899282428909829E+0
492.000000000000060E+0	428.242617108170910E-3	3.107221356439355E+0
493.000000000000060E+0	382.122974829291750E-3	3.050322980077841E+0
494.000000000000060E+0	361.685519643162030E-3	3.070639011078564E+0
495.000000000000060E+0	288.129056279286310E-3	2.906611412908961E+0
496.000000000000060E+0	334.292066432374250E-3	2.747515389630264E+0
497.000000000000060E+0	373.705711205071510E-3	2.758470233259561E+0
498.000000000000060E+0	382.578702247916290E-3	2.879971406317126E+0
499.000000000000060E+0	358.774507377994380E-3	2.975603421631254E+0
500.000000000000060E+0	294.547650165568000E-3	2.881810042355223E+0
501.000000000000060E+0	354.482279471405310E-3	2.953583354147276E+0
502.000000000000060E+0	300.127113350138860E-3	2.936109759726261E+0
503.000000000000060E+0	282.773604098030870E-3	2.821290424593385E+0
504.000000000000060E+0	295.699327120674870E-3	2.680796742389607E+0
505.000000000000060E+0	336.896110255091420E-3	2.590015938445225E+0
506.000000000000060E+0	402.338446844232480E-3	2.883752542513864E+0
507.000000000000060E+0	318.697910941175890E-3	2.838583291894543E+0
508.000000000000060E+0	330.252019698191290E-3	2.769369825017119E+0
509.000000000000060E+0	319.919690579354930E-3	2.867632344291772E+0
510.000000000000060E+0	219.514709621797060E-3	2.870262435979010E+0
511.000000000000060E+0	276.638270220531110E-3	2.567674358555413E+0
512.000000000000110E+0	277.825217734558430E-3	2.552486561018079E+0
513.000000000000110E+0	279.468312263010390E-3	2.361537965368709E+0
514.000000000000110E+0	339.564581621634500E-3	2.367782489457243E+0
515.000000000000110E+0	254.280508771507930E-3	2.420910924781407E+0
516.000000000000110E+0	212.995999816129320E-3	1.875602626814139E+0
517.000000000000110E+0	251.438800261354120E-3	1.973314869737726E+0
518.000000000000110E+0	206.161394217876990E-3	2.355335258025499E+0
519.000000000000110E+0	128.043549751377520E-3	4.037239218314753E+0
520.000000000000110E+0	53.570530683822809E-3	2.431967770803561E+0
521.000000000000110E+0	99.776840376718884E-3	2.957611379319027E+0
522.000000000000110E+0	115.290021109246300E-3	3.341711501832274E+0
523.000000000000110E+0	130.211939432273850E-3	3.537426593268437E+0
524.000000000000110E+0	139.249100313268930E-3	3.668102706092407E+0
525.000000000000110E+0	187.710623214604910E-3	3.610882884427598E+0
526.000000000000110E+0	246.462271811834030E-3	3.602355308195748E+0
527.000000000000110E+0	312.395866032678600E-3	3.669325737172040E+0
528.000000000000110E+0	309.204891864485020E-3	3.592194558913013E+0
529.000000000000110E+0	405.451713455324490E-3	3.245954903869753E+0
530.000000000000110E+0	460.622449637771990E-3	3.230913863539341E+0
531.000000000000110E+0	474.820565200491820E-3	3.110298317622225E+0
532.000000000000110E+0	489.613607490660460E-3	2.888377342598839E+0
533.000000000000110E+0	484.118825807667240E-3	2.848662023970475E+0
534.000000000000110E+0	401.754561089155580E-3	2.666559625494889E+0
535.000000000000110E+0	378.284193072994990E-3	2.363376049335850E+0
536.000000000000110E+0	417.256530602354620E-3	2.099092476514156E+0
537.000000000000110E+0	469.009053195375390E-3	1.913254483010558E+0
538.000000000000110E+0	553.716638171957600E-3	2.230650958599458E+0
539.000000000000110E+0	318.193529469091460E-3	2.217775107501768E+0
540.000000000000110E+0	256.219891312000620E-3	2.175522413253666E+0
541.000000000000110E+0	226.140409392547900E-3	2.196300893040346E+0
542.000000000000110E+0	243.481289748392590E-3	2.602201719128358E+0
543.000000000000110E+0	146.411906120237910E-3	2.496159200205655E+0
544.000000000000110E+0	158.789108974818150E-3	2.394446748910148E+0
545.000000000000110E+0	161.716078318686700E-3	2.465787602179626E+0
546.000000000000110E+0	167.027662302618340E-3	2.211013827157861E+0
547.000000000000110E+0	264.429960958530330E-3	2.173984363232618E+0
548.000000000000110E+0	277.425463749135070E-3	2.638417062949102E+0
549.000000000000110E+0	257.766988752309080E-3	2.524037867810251E+0
550.000000000000110E+0	282.358562660844970E-3	2.558290215586322E+0
551.000000000000110E+0	245.429594560290840E-3	2.640854188869442E+0
552.000000000000110E+0	243.259618758576380E-3	2.354851715983710E+0
553.000000000000110E+0	292.898844764884650E-3	2.375277518414775E+0
554.000000000000110E+0	295.691761902652010E-3	2.420487972151510E+0
555.000000000000110E+0	258.451796354458360E-3	2.393681635343043E+0
556.000000000000110E+0	296.939065575628490E-3	2.097185045865628E+0
557.000000000000110E+0	391.525949196635640E-3	2.226976018687635E+0
558.000000000000110E+0	325.181990848274870E-3	2.261163308509124E+0
559.000000000000110E+0	303.748012222114120E-3	2.106159664894963E+0
560.000000000000110E+0	321.494718325937680E-3	1.909125272721219E+0
561.000000000000110E+0	430.649727486851760E-3	1.983358004478766E+0
562.000000000000110E+0	352.012866023788060E-3	2.015244659153394E+0
563.000000000000110E+0	344.589769636321040E-3	1.908355377633041E+0
564.000000000000110E+0	326.079181956739290E-3	1.746449070914724E+0
565.000000000000110E+0	340.857909523414880E-3	1.473316340234877E+0
566.000000000000110E+0	408.188075105250850E-3	1.426656839995856E+0
567.000000000000110E+0	307.864563017293590E-3	1.457656689989360E+0
568.000000000000110E+0	275.514860498950240E-3	1.268294726969944E+0
569.000000000000110E+0	249.982445279391150E-3	1.336839792398790E+0
570.000000000000110E+0	221.286432206471370E-3	1.378988341441767E+0
571.000000000000110E+0	204.000703435753470E-3	1.536024562822488E+0
572.000000000000110E+0	189.887854571039960E-3	1.609977400129703E+0
573.000000000000110E+0	180.728180009385810E-3	1.776448618006529E+0
574.000000000000110E+0	117.190539384147280E-3	1.816362584004943E+0
575.000000000000110E+0	131.196388955433950E-3	1.787400945547628E+0
576.000000000000110E+0	116.134152189454650E-3	1.461446021738931E+0
577.000000000000110E+0	200.011844222553000E-3	1.748888396636385E+0
578.000000000000110E+0	230.912002429411100E-3	1.947093717235679E+0
579.000000000000110E+0	225.095366245424750E-3	2.015739371740920E+0
580.000000000000110E+0	334.942654755771620E-3	1.929302711241463E+0
581.000000000000110E+0	355.946966928963880E-3	2.004298732156240E+0
582.000000000000110E+0	423.980719519228060E-3	1.939234402256723E+0
583.000000000000110E+0	489.529848174750430E-3	1.963953372151825E+0
584.000000000000110E+0	467.686984387141570E-3	1.880332390812882E+0
585.000000000000110E+0	541.115766430015800E-3	1.491024628138245E+0
586.000000000000110E+0	644.345347850408760E-3	1.325780857300574E+0
587.000000000000110E+0	713.079734308275200E-3	1.182403602532377E+0
588.000000000000110E+0	742.577973549232050E-3	960.131174685444070E-3
589.000000000000110E+0	786.750230133993920E-3	812.302039073898090E-3
590.000000000000110E+0	684.306093193640330E-3	575.979785234199130E-3
591.000000000000110E+0	656.215654611286720E-3	365.680355754413990E-3
592.000000000000110E+0	640.524392424353330E-3	243.943450908746810E-3
593.000000000000110E+0	519.665685411067950E-3	203.034364540760430E-3
594.000000000000110E+0	491.057756199666300E-3	-16.012818180060836E-3
595.000000000000110E+0	496.816381131139460E-3	-72.913324900977766E-3
596.000000000000110E+0	478.313507403028410E-3	-99.880108526419251E-3
597.000000000000110E+0	457.376110355805500E-3	-94.854390365216354E-3
598.000000000000110E+0	376.990340562225080E-3	-118.292935586372150E-3
599.000000000000110E+0	402.983918366608630E-3	-325.078908764227290E-3
600.000000000000110E+0	397.898130157918580E-3	-362.076982155015770E-3
601.000000000000110E+0	399.946488406674460E-3	-469.017110458698760E-3
602.000000000000110E+0	449.878056702625710E-3	-528.319749468949550E-3
603.000000000000110E+0	386.515836556286630E-3	-637.354651665134500E-3
604.000000000000110E+0	439.002354655640410E-3	-809.817277052650160E-3
605.000000000000110E+0	420.613979468032580E-3	-879.731913935241750E-3
606.000000000000110E+0	417.161759637514230E-3	-1.192766366258368E+0
607.000000000000110E+0	468.545516875334860E-3	-1.304118353549308E+0
608.000000000000110E+0	504.436029248179100E-3	-1.144292543645783E+0
609.000000000000110E+0	301.215707806887500E-3	-1.264368765694274E+0
610.000000000000110E+0	242.163459502230200E-3	-1.349371193233461E+0
611.000000000000110E+0	176.310137212532500E-3	-1.424781127207782E+0
612.000000000000110E+0	180.308653540466820E-3	-1.723487832004905E+0
613.000000000000110E+0	187.638012202786340E-3	-1.430321602767947E+0
614.000000000000110E+0	144.371258918370050E-3	-1.471523768433660E+0
615.000000000000110E+0	140.885330857547150E-3	-1.686591639759690E+0
616.000000000000110E+0	180.759783697846040E-3	-1.677176925159868E+0
617.000000000000110E+0	254.291800932878450E-3	-1.447690380636887E+0
618.000000000000110E+0	237.524121940424850E-3	-1.030962821072301E+0
619.000000000000110E+0	204.089872923368610E-3	-947.697139717674440E-3
620.000000000000110E+0	205.110737305659710E-3	-922.844780135572470E-3
621.000000000000110E+0	164.900335884651360E-3	-606.805614507082040E-3
622.000000000000110E+0	187.464392065933350E-3	-1.495991561402781E+0
623.000000000000110E+0	245.501649635800730E-3	-1.473352429608595E+0
624.000000000000110E+0	287.999148638361010E-3	-1.458512090904197E+0
625.000000000000110E+0	307.728580152503040E-3	-1.438012069548784E+0
626.000000000000110E+0	293.171821351528920E-3	-1.511395058089639E+0
627.000000000000110E+0	327.876045889013870E-3	-1.541088441709824E+0
628.000000000000110E+0	316.335228768272470E-3	-1.567717875246120E+0
629.000000000000110E+0	324.372371038005810E-3	-1.548858907155774E+0
630.000000000000110E+0	282.606913768292610E-3	-1.443648670150405E+0
631.000000000000110E+0	248.246224131953100E-3	-1.733960482974515E+0
632.000000000000110E+0	304.288678019673300E-3	-1.725794238460457E+0
633.000000000000110E+0	337.162762573220090E-3	-1.686096448280465E+0
634.000000000000110E+0	391.870829190821950E-3	-1.593909292991162E+0
635.000000000000110E+0	380.354006127041340E-3	-1.454266122591485E+0
636.000000000000110E+0	368.992468474413750E-3	-1.506778033984011E+0
637.000000000000110E+0	459.362937302289610E-3	-1.647759104968525E+0
638.000000000000110E+0	533.220198105705090E-3	-1.635537332136464E+0
639.000000000000110E+0	589.933356492418180E-3	-1.674575030716815E+0
640.000000000000110E+0	585.321232488033140E-3	-1.715803710201389E+0
641.000000000000110E+0	738.465069249717660E-3	-1.924685333340797E+0
642.000000000000110E+0	866.133263229208690E-3	-2.000151719956307E+0
643.000000000000110E+0	984.233853314872560E-3	-2.037379956723461E+0
644.000000000000110E+0	1.026563225263126E+0	-2.112781927740023E+0
645.000000000000110E+0	1.007854865414696E+0	-2.302725956265995E+0
646.000000000000110E+0	1.177614803338358E+0	-2.516653394668980E+0
647.000000000000110E+0	1.297763968253972E+0	-2.602396785503270E+0
648.000000000000110E+0	1.295895791356077E+0	-2.706427302648768E+0
649.000000000000110E+0	1.264253292651737E+0	-2.774862255842347E+0
650.000000000000110E+0	1.064873856190968E+0	-3.112057318097018E+0
651.000000000000110E+0	1.196651793641780E+0	-3.182103441108155E+0
652.000000000000110E+0	1.198802319582584E+0	-3.268434714991670E+0
653.000000000000110E+0	1.295880133374557E+0	-3.294331430967597E+0
654.000000000000110E+0	1.098631114892709E+0	-3.302393563817622E+0
655.000000000000110E+0	1.109631856721024E+0	-3.446686075913309E+0
656.000000000000110E+0	1.149516203492522E+0	-3.472640007148802E+0
657.000000000000110E+0	1.186474096072056E+0	-3.526248780871168E+0
658.000000000000110E+0	1.227922911725926E+0	-3.554804899556295E+0
659.000000000000110E+0	1.202063832293387E+0	-3.638630700054334E+0
660.000000000000110E+0	1.283474095800581E+0	-3.779213273009142E+0
661.000000000000110E+0	1.387640992137651E+0	-3.863546490970125E+0
662.000000000000110E+0	1.510677363372847E+0	-3.965448153554577E+0
663.000000000000110E+0	1.580769221481165E+0	-3.911584187831493E+0
664.000000000000110E+0	1.413582850520967E+0	-4.172354031696801E+0
665.000000000000110E+0	1.572288628436548E+0	-4.364917702051986E+0
666.000000000000110E+0	1.790124417613461E+0	-4.549142530986375E+0
667.000000000000110E+0	1.851079407241190E+0	-4.660988200973140E+0
668.000000000000110E+0	1.946897511107483E+0	-4.816663475893999E+0
669.000000000000110E+0	1.656629303777049E+0	-4.998920728955293E+0
670.000000000000110E+0	1.581558505729534E+0	-5.314853730633930E+0
671.000000000000110E+0	1.549523223277088E+0	-5.549447528636508E+0
672.000000000000110E+0	1.351023023659166E+0	-5.693709323654719E+0
673.000000000000110E+0	1.078976898080680E+0	-5.900362969160000E+0
674.000000000000110E+0	965.078121552190300E-3	-6.145792076458836E+0
675.000000000000110E+0	890.501076867402210E-3	-6.245685795547930E+0
676.000000000000110E+0	839.969861407336650E-3	-6.353172191326417E+0
677.000000000000110E+0	761.586717239263410E-3	-6.309257658687178E+0
678.000000000000110E+0	518.671715301378010E-3	-6.224900875420218E+0
679.000000000000110E+0	340.348217577082280E-3	-6.615889968696909E+0
680.000000000000110E+0	260.706411877260620E-3	-6.798830600032546E+0
681.000000000000110E+0	155.215299910925500E-3	-6.887989159828662E+0
682.000000000000110E+0	123.556093728094130E-3	-7.609792709899851E+0
683.000000000000110E+0	85.461358525423692E-3	-7.678400649654297E+0
684.000000000000110E+0	73.915587786235554E-3	-7.761652154101808E+0
685.000000000000110E+0	65.885044086872319E-3	-6.895889278617839E+0
686.000000000000110E+0	58.545688299729226E-3	-5.765062583564670E+0
687.000000000000110E+0	142.740359214374560E-3	-5.206753847427899E+0
688.000000000000110E+0	94.829685328151850E-3	-4.486489981428222E+0
689.000000000000110E+0	92.366766297710401E-3	-4.437659834165473E+0
690.000000000000110E+0	99.005461540274134E-3	-4.332194609500141E+0
691.000000000000110E+0	103.081190067434240E-3	-4.339708165040310E+0
692.000000000000110E+0	119.105385225211590E-3	-4.500001484772053E+0
693.000000000000110E+0	137.408969441197180E-3	-4.519812349208039E+0
694.000000000000110E+0	151.338100375711350E-3	-4.642391617190695E+0
695.000000000000110E+0	195.276034332505930E-3	-4.868909449272628E+0
696.000000000000110E+0	250.908871236258600E-3	-4.780407195375512E+0
697.000000000000110E+0	254.236469596118790E-3	-4.826917803462921E+0
698.000000000000110E+0	265.118399688156650E-3	-4.948852676121168E+0
699.000000000000110E+0	270.396748454993290E-3	-5.101795416617865E+0
700.000000000000110E+0	270.657442486525790E-3	-5.212089059418200E+0
701.000000000000110E+0	261.937924152459700E-3	-5.413052827902151E+0
702.000000000000110E+0	233.756203551328150E-3	-5.502034063254952E+0
703.000000000000110E+0	203.879613796068700E-3	-5.629252838108696E+0
704.000000000000110E+0	171.754517051657060E-3	-5.726110706218406E+0
705.000000000000110E+0	152.482556607173220E-3	-5.850159694311233E+0
706.000000000000110E+0	139.899146760304880E-3	-5.741708123306545E+0
707.000000000000110E+0	96.278766864611440E-3	-5.829742218899087E+0
708.000000000000110E+0	84.583593546890157E-3	-6.077668566495320E+0
709.000000000000110E+0	79.994036585630118E-3	-6.182076360424327E+0
710.000000000000110E+0	145.802294795681160E-3	-6.471759775190148E+0
711.000000000000110E+0	78.278307216717899E-3	-5.542178746075805E+0
712.000000000000110E+0	57.977007817443457E-3	-5.732256926064894E+0
713.000000000000110E+0	59.512809673663403E-3	-5.470093673887479E+0
714.000000000000110E+0	37.880544655965492E-3	-4.957432228056451E+0
715.000000000000110E+0	69.207049255264316E-3	-4.223067556961010E+0
716.000000000000110E+0	68.159418456740645E-3	-3.339124024509108E+0
717.000000000000110E+0	77.587058710300805E-3	-3.671979084756874E+0
718.000000000000110E+0	123.141536385738780E-3	-3.628404916361962E+0
719.000000000000110E+0	116.026223516987840E-3	-3.235256937967314E+0
720.000000000000110E+0	103.003306855845060E-3	-4.198067060281588E+0
721.000000000000110E+0	134.660220272528770E-3	-4.254974579086408E+0
722.000000000000110E+0	163.708814975717820E-3	-4.420473234043188E+0
723.000000000000110E+0	201.398280499613720E-3	-4.561392737132188E+0
724.000000000000110E+0	221.357849604764460E-3	-4.474065782508318E+0
725.000000000000110E+0	186.908338924114210E-3	-4.531055083599814E+0
726.000000000000110E+0	186.060407389680220E-3	-4.649124341550706E+0
727.000000000000110E+0	172.584135768016400E-3	-4.675200134442637E+0
728.000000000000110E+0	176.012503173691910E-3	-4.737540390416180E+0
729.000000000000110E+0	154.704632885366840E-3	-4.955497582114486E+0
730.000000000000110E+0	185.755382714925920E-3	-4.913124672735928E+0
731.000000000000110E+0	183.327804036097470E-3	-5.013203114744148E+0
732.000000000000110E+0	192.012751510714560E-3	-5.071570663652864E+0
733.000000000000110E+0	160.601480688205180E-3	-5.045313439323468E+0
734.000000000000110E+0	143.692646437221100E-3	-5.316917230585615E+0
735.000000000000110E+0	131.065209626619050E-3	-5.292240653367487E+0
736.000000000000110E+0	110.396086904365030E-3	-5.448225437018735E+0
737.000000000000110E+0	120.137905185162560E-3	-5.517866724300816E+0
738.000000000000110E+0	140.595483195452620E-3	-5.270527084731212E+0
739.000000000000110E+0	104.158679455684650E-3	-4.910822843532197E+0
740.000000000000110E+0	94.494925454924744E-3	-4.704625183382942E+0
741.000000000000110E+0	88.664193109014078E-3	-4.616304886408238E+0
742.000000000000110E+0	156.790059456120120E-3	-4.325059780677588E+0
743.000000000000110E+0	57.725835616900402E-3	-3.887690298543886E+0
744.000000000000110E+0	82.982014307581342E-3	-4.206928673992279E+0
745.000000000000110E+0	92.204966695132479E-3	-4.063021765027145E+0
746.000000000000110E+0	101.008113755301190E-3	-4.368412264854790E+0
747.000000000000110E+0	130.883902577622700E-3	-4.474800243550036E+0
748.000000000000110E+0	177.442197315089670E-3	-4.280972427699933E+0
749.000000000000110E+0	186.496967978280250E-3	-4.311923209498111E+0
750.000000000000110E+0	210.043409710198300E-3	-4.298556737027454E+0
751.000000000000110E+0	224.249356879286790E-3	-4.279012191424647E+0
752.000000000000110E+0	235.701839306857840E-3	-4.492155146334311E+0
753.000000000000110E+0	294.668955534338360E-3	-4.452426845670548E+0
754.000000000000110E+0	319.207632826413620E-3	-4.504462073009329E+0
755.000000000000110E+0	354.629055726095710E-3	-4.497995773447623E+0
756.000000000000110E+0	351.835317388099810E-3	-4.684214909223161E+0
757.000000000000110E+0	405.649688929012320E-3	-4.705679368031996E+0
758.000000000000110E+0	329.304453165366330E-3	-4.954843313346130E+0
759.000000000000110E+0	343.493762221648350E-3	-5.169559609135607E+0
760.000000000000110E+0	302.810385779926470E-3	-5.339754190397000E+0
761.000000000000110E+0	348.600793826334960E-3	-5.753163941895095E+0
762.000000000000110E+0	270.985419045490620E-3	-5.541869095346676E+0
763.000000000000110E+0	224.108501969851830E-3	-5.702847860026568E+0
764.000000000000110E+0	226.146642009884550E-3	-5.703153214180823E+0
765.000000000000110E+0	185.276799092201210E-3	-5.655844047999249E+0
766.000000000000110E+0	206.609060878413410E-3	-5.662084102427645E+0
767.000000000000110E+0	165.985200283839620E-3	-5.286368667447417E+0
768.000000000000110E+0	128.238169849281050E-3	-5.250520470405417E+0
769.000000000000110E+0	137.682754004568950E-3	-5.175186232262374E+0
770.000000000000110E+0	170.274859368168110E-3	-4.899298198513375E+0
771.000000000000110E+0	124.651009934965940E-3	-4.394622355398942E+0
772.000000000000110E+0	135.698861457732000E-3	-4.466250520165910E+0
773.000000000000110E+0	143.169043584829260E-3	-4.546728837271845E+0
774.000000000000110E+0	238.535933730091990E-3	-4.749978614644607E+0
775.000000000000110E+0	272.273189012922250E-3	-4.438754389423052E+0
776.000000000000110E+0	258.200622634316920E-3	-4.655230748350054E+0
777.000000000000110E+0	408.428784032840940E-3	-4.732397245941197E+0
778.000000000000110E+0	507.563780981797000E-3	-4.716778318381262E+0
779.000000000000110E+0	626.531700214457370E-3	-4.650323892460935E+0
780.000000000000110E+0	407.676314599976610E-3	-4.685330459589709E+0
781.000000000000110E+0	625.666848948071120E-3	-5.192208899906301E+0
782.000000000000110E+0	767.575683445328890E-3	-5.352592898054257E+0
783.000000000000110E+0	831.486079240966180E-3	-5.473624447122718E+0
784.000000000000110E+0	673.062126110341000E-3	-5.655452714013466E+0
785.000000000000110E+0	661.181291368317380E-3	-5.967220581983261E+0
786.000000000000110E+0	606.500413140568910E-3	-6.103376696909645E+0
787.000000000000110E+0	512.899158445449530E-3	-6.155925758857563E+0
788.000000000000110E+0	415.449190996510510E-3	-6.233206995926431E+0
789.000000000000110E+0	295.770110290172970E-3	-6.340238543074636E+0
790.000000000000110E+0	425.656168217077860E-3	-6.346803548590969E+0
791.000000000000110E+0	342.634625994066470E-3	-6.332739895622868E+0
792.000000000000110E+0	288.326154457562880E-3	-6.335599579543049E+0
793.000000000000110E+0	282.012822150289220E-3	-6.547258841305012E+0
794.000000000000110E+0	320.288606168076030E-3	-6.303710255320868E+0
795.000000000000110E+0	234.321422198357780E-3	-6.116696916309444E+0
796.000000000000110E+0	190.534070810294050E-3	-6.122100929581060E+0
797.000000000000110E+0	172.690575946973760E-3	-6.174003298808270E+0
798.000000000000110E+0	182.590498716217300E-3	-6.201167523930255E+0
799.000000000000110E+0	230.417462943309670E-3	-5.853721713252733E+0
800.000000000000110E+0	205.871029662156620E-3	-5.687023102871590E+0
801.000000000000110E+0	223.688731991448950E-3	-5.658558631086745E+0
802.000000000000110E+0	222.512956098817270E-3	-5.754082809302267E+0
803.000000000000110E+0	389.388589420936290E-3	-5.674322404940562E+0
804.000000000000110E+0	354.989130478025220E-3	-5.689715061732493E+0
805.000000000000110E+0	401.494187051224190E-3	-5.859560653763308E+0
806.000000000000110E+0	466.465879527540650E-3	-5.944391775070067E+0
807.000000000000110E+0	495.144253579683500E-3	-6.022294270203278E+0
808.000000000000110E+0	570.939242840597160E-3	-6.148811947310366E+0
809.000000000000110E+0	511.993326110202980E-3	-6.236435187224250E+0
810.000000000000110E+0	538.868665917270780E-3	-6.382771607215913E+0
811.000000000000110E+0	525.913069302317850E-3	-6.470276840819213E+0
812.000000000000110E+0	467.894428287297880E-3	-6.644618463725768E+0
813.000000000000110E+0	510.103181245432640E-3	-6.918982028939453E+0
814.000000000000110E+0	500.516517127080120E-3	-7.003914815993396E+0
815.000000000000110E+0	469.458347368600870E-3	-7.140246503110202E+0
816.000000000000110E+0	418.417660010896700E-3	-7.270888212547466E+0
817.000000000000110E+0	402.362167151028460E-3	-7.475497142860190E+0
818.000000000000110E+0	327.392792646755080E-3	-7.309486702918297E+0
819.000000000000110E+0	248.679727079801150E-3	-7.424272058423028E+0
820.000000000000110E+0	187.371184888987490E-3	-7.418971561953054E+0
821.000000000000110E+0	136.965806430035000E-3	-7.452118270017682E+0
822.000000000000110E+0	186.858509031196770E-3	-7.491766004233868E+0
823.000000000000110E+0	162.124694789576030E-3	-7.287141774153297E+0
824.000000000000110E+0	155.448353240855150E-3	-7.202234662014479E+0
825.000000000000110E+0	138.888540877445700E-3	-7.151846960733709E+0
826.000000000000110E+0	126.024625964217210E-3	-7.349259574368819E+0
827.000000000000110E+0	147.930730461909990E-3	-7.297856124333262E+0
828.000000000000110E+0	135.748244955884670E-3	-7.222771272993760E+0
829.000000000000110E+0	126.162344576568470E-3	-7.160789996135733E+0
830.000000000000110E+0	114.151407326580220E-3	-7.115955262395458E+0
831.000000000000110E+0	130.821755848996160E-3	-7.142085888668981E+0
832.000000000000110E+0	107.600049157342270E-3	-6.893026938045216E+0
833.000000000000110E+0	104.054447651481250E-3	-6.891457368600609E+0
834.000000000000110E+0	94.850718098137401E-3	-6.774813523132940E+0
835.000000000000110E+0	93.661650265211283E-3	-7.016756106461603E+0
836.000000000000110E+0	99.231635280455741E-3	-7.061784514368068E+0
837.000000000000110E+0	118.387791665119990E-3	-6.897752887898180E+0
838.000000000000110E+0	106.662138593582240E-3	-6.853912274858031E+0
839.000000000000110E+0	103.418008275991820E-3	-6.917028665650907E+0
840.000000000000110E+0	123.547621638720750E-3	-6.967932326729059E+0
841.000000000000110E+0	105.945585963876030E-3	-6.598571256861619E+0
842.000000000000110E+0	88.192330797339263E-3	-6.724321519449104E+0
