Freq (Hz)	accelerometre /source_source_Mod	accelerometre /source_source_Phase(rad)
74.000000000000028E+0	135.181862302193950E-3	11.256628903616203E+0
75.000000000000028E+0	166.930855138066660E-3	11.234533321320894E+0
76.000000000000028E+0	220.893827286024360E-3	11.187975254463606E+0
77.000000000000028E+0	260.236184859536980E-3	11.298286899379534E+0
78.000000000000028E+0	243.019109232090220E-3	11.173431529932889E+0
79.000000000000028E+0	242.937913615798670E-3	11.115604950070947E+0
80.000000000000028E+0	233.237704150476430E-3	10.984153651964517E+0
81.000000000000028E+0	265.178272962868170E-3	10.756694523553247E+0
82.000000000000028E+0	274.757727510251740E-3	10.911007545954126E+0
83.000000000000028E+0	303.149990982647550E-3	10.968476892376646E+0
84.000000000000028E+0	316.215791593590310E-3	10.914495635651305E+0
85.000000000000028E+0	336.690532209499900E-3	10.831573447460565E+0
86.000000000000028E+0	343.107486650194910E-3	10.916321927532389E+0
87.000000000000028E+0	317.306741366395860E-3	10.517586432885983E+0
88.000000000000028E+0	373.450110161354820E-3	10.530690227533986E+0
89.000000000000028E+0	401.223785634792440E-3	10.597964260793484E+0
90.000000000000028E+0	414.835525376037350E-3	10.802766083585059E+0
91.000000000000028E+0	439.829382346211830E-3	10.203199880092939E+0
92.000000000000028E+0	409.109771821865590E-3	10.198417123145530E+0
93.000000000000028E+0	429.182251867580360E-3	10.103372591710487E+0
94.000000000000028E+0	453.083334275832080E-3	9.943874919986868E+0
95.000000000000028E+0	405.646818623864810E-3	9.797357905984654E+0
96.000000000000028E+0	515.810772634229250E-3	9.441861599827662E+0
97.000000000000028E+0	491.232326234981750E-3	9.424630094761437E+0
98.000000000000028E+0	441.026727238356120E-3	9.319106341903913E+0
99.000000000000028E+0	412.480668469458520E-3	9.274238653266039E+0
100.000000000000030E+0	261.911230076789510E-3	8.766163577638478E+0
101.000000000000030E+0	367.356485933070850E-3	8.937928414311973E+0
102.000000000000030E+0	306.067253027760330E-3	9.028904928746709E+0
103.000000000000030E+0	115.180501973129570E-3	8.737616843044229E+0
104.000000000000030E+0	335.134331879338440E-3	8.382616088270355E+0
105.000000000000030E+0	253.360069580895080E-3	8.305847690124468E+0
106.000000000000030E+0	278.878664453052090E-3	8.509307683291807E+0
107.000000000000030E+0	259.945824682828840E-3	8.492172782522861E+0
108.000000000000030E+0	236.419292523403380E-3	8.274004417911518E+0
109.000000000000030E+0	240.329738860876690E-3	8.981736589769410E+0
110.000000000000030E+0	100.614482742102010E-3	7.665768604260011E+0
111.000000000000030E+0	77.656129858797482E-3	7.774791729082524E+0
112.000000000000030E+0	42.257606755011598E-3	8.798287217696844E+0
113.000000000000030E+0	121.113739450313950E-3	9.392529017588174E+0
114.000000000000030E+0	227.174246752372600E-3	10.017730083404487E+0
115.000000000000030E+0	103.005983844218820E-3	10.006261890030668E+0
116.000000000000030E+0	114.433408092344510E-3	9.460265485007513E+0
117.000000000000030E+0	131.303449573803470E-3	9.159589652161259E+0
118.000000000000030E+0	123.632083867532790E-3	8.411520746820205E+0
119.000000000000030E+0	451.703137042570150E-3	9.044885514285006E+0
120.000000000000030E+0	188.970101469494220E-3	8.945556255633372E+0
121.000000000000030E+0	141.778584873656970E-3	8.398484540624949E+0
122.000000000000030E+0	265.868490759197610E-3	7.824866206363218E+0
123.000000000000030E+0	162.539729505820270E-3	7.974070062942971E+0
124.000000000000030E+0	277.691001480715960E-3	7.445179306687168E+0
125.000000000000030E+0	167.175044739887730E-3	7.640909649109209E+0
126.000000000000030E+0	128.029714159248940E-3	6.726261779700432E+0
127.000000000000030E+0	115.906025096271750E-3	6.075419358782207E+0
128.000000000000030E+0	262.363695132481870E-3	5.410480124963429E+0
129.000000000000030E+0	134.478663607514010E-3	5.809935009480093E+0
130.000000000000030E+0	108.317794210187750E-3	5.155079853142272E+0
131.000000000000030E+0	109.115074107842140E-3	4.629241979671022E+0
132.000000000000030E+0	172.457894822256290E-3	4.190270471162988E+0
133.000000000000030E+0	144.261849325541560E-3	4.352838946260767E+0
134.000000000000030E+0	172.129886590954410E-3	4.103115169861361E+0
135.000000000000030E+0	186.065238531040680E-3	4.207968773745360E+0
136.000000000000030E+0	174.358951665938710E-3	4.015033070911127E+0
137.000000000000030E+0	225.401624939345490E-3	3.871063987049839E+0
138.000000000000030E+0	126.016459261708820E-3	4.002733064657177E+0
139.000000000000030E+0	161.169815391090880E-3	3.722877608487106E+0
140.000000000000030E+0	177.619163414205000E-3	3.605111407258858E+0
141.000000000000030E+0	185.382575778879650E-3	3.377637201570674E+0
142.000000000000030E+0	254.972854316816430E-3	3.295295766170209E+0
143.000000000000030E+0	253.405664068484530E-3	3.447664480290075E+0
144.000000000000030E+0	247.339557834868520E-3	3.410269674567980E+0
145.000000000000030E+0	246.255966153003190E-3	3.414838707946467E+0
146.000000000000030E+0	207.613873695219800E-3	3.377808133004813E+0
147.000000000000030E+0	134.123387239148520E-3	3.334505563941256E+0
148.000000000000030E+0	182.854707513522980E-3	2.823126964213041E+0
149.000000000000030E+0	181.808073306012090E-3	2.819630426656343E+0
150.000000000000030E+0	161.096708389621010E-3	2.656237459137133E+0
151.000000000000030E+0	258.452130511559130E-3	2.491306580289645E+0
152.000000000000030E+0	243.233572275507740E-3	2.786789913019344E+0
153.000000000000030E+0	234.184607316616940E-3	2.838563299599940E+0
154.000000000000030E+0	209.667073058034450E-3	3.016698016728547E+0
155.000000000000030E+0	230.402933500228780E-3	3.039555957936880E+0
156.000000000000030E+0	263.807236232508010E-3	3.889879879508378E+0
157.000000000000030E+0	73.672255943959944E-3	3.519138983520808E+0
158.000000000000030E+0	92.478888924284783E-3	2.937313779994945E+0
159.000000000000030E+0	101.096211847578750E-3	2.904540959003755E+0
160.000000000000030E+0	59.208681684142055E-3	2.617504141394275E+0
161.000000000000030E+0	179.734223450080080E-3	2.552158411052247E+0
162.000000000000030E+0	193.979902295668140E-3	2.851001413073640E+0
163.000000000000030E+0	231.913627244515060E-3	2.940139272198112E+0
164.000000000000030E+0	289.072843396506130E-3	3.173570356072763E+0
165.000000000000030E+0	349.819807837589980E-3	3.292443725865432E+0
166.000000000000030E+0	380.468792249118170E-3	3.954632097936024E+0
167.000000000000030E+0	211.331748209764030E-3	3.459977325322275E+0
168.000000000000030E+0	265.613118203035850E-3	3.219442971281576E+0
169.000000000000030E+0	221.639752764481060E-3	3.365196041613813E+0
170.000000000000030E+0	332.155037593779730E-3	2.405340604850532E+0
171.000000000000030E+0	404.470849770789620E-3	2.485740800238053E+0
172.000000000000030E+0	495.176054466764990E-3	2.363783690773719E+0
173.000000000000030E+0	683.410304558602970E-3	2.336844940470903E+0
174.000000000000030E+0	714.198238499483830E-3	2.706786450988866E+0
175.000000000000030E+0	400.591283270025630E-3	3.027536107528416E+0
176.000000000000030E+0	153.661024419767590E-3	2.885347031253747E+0
177.000000000000030E+0	26.127983267514029E-3	5.615707568548686E+0
178.000000000000030E+0	53.408872628562087E-3	7.015455449932372E+0
179.000000000000030E+0	393.450998446402360E-3	5.055820536888442E+0
180.000000000000030E+0	326.604347703814020E-3	7.918867141096839E+0
181.000000000000030E+0	277.476811976382690E-3	8.094669986254583E+0
182.000000000000030E+0	349.683164528673430E-3	8.098480753534181E+0
183.000000000000030E+0	415.092917032114760E-3	8.520625838423829E+0
184.000000000000030E+0	444.933104738607750E-3	8.892650467412540E+0
185.000000000000030E+0	209.501884430957990E-3	9.417245030660975E+0
186.000000000000030E+0	147.655906434335790E-3	8.497285276310009E+0
187.000000000000030E+0	195.765883838596360E-3	8.413509398354069E+0
188.000000000000030E+0	86.905588722713895E-3	6.724116294863235E+0
189.000000000000030E+0	403.329772538642330E-3	7.486831258018547E+0
190.000000000000030E+0	349.659824933991110E-3	7.915156406801471E+0
191.000000000000030E+0	309.109182550593160E-3	7.876709739653334E+0
192.000000000000030E+0	329.579034739157560E-3	7.867016358655246E+0
193.000000000000030E+0	247.055927367077040E-3	7.927546064424269E+0
194.000000000000030E+0	238.414255238751840E-3	7.765963782503094E+0
195.000000000000030E+0	213.834218200050470E-3	7.610969730209455E+0
196.000000000000030E+0	223.231577746436450E-3	7.367037423025164E+0
197.000000000000030E+0	251.692504993326350E-3	7.447022654041931E+0
198.000000000000030E+0	82.934330942418352E-3	7.913193979304133E+0
199.000000000000030E+0	125.965142838226490E-3	7.430524641716504E+0
200.000000000000030E+0	74.748051443541644E-3	8.381895160969140E+0
201.000000000000030E+0	134.126840474687060E-3	11.341936247672837E+0
202.000000000000030E+0	140.282490149804820E-3	12.972931078239403E+0
203.000000000000030E+0	83.007583575609972E-3	13.754184963174444E+0
204.000000000000030E+0	115.517032686173400E-3	13.979863745431736E+0
205.000000000000030E+0	123.411390456914920E-3	14.423619514483361E+0
206.000000000000030E+0	121.243285289407660E-3	14.368009381684798E+0
207.000000000000030E+0	215.595180933869280E-3	14.409840021120356E+0
208.000000000000030E+0	197.223763386404460E-3	15.163371557882973E+0
209.000000000000030E+0	171.001492989746820E-3	14.936291068679591E+0
210.000000000000030E+0	211.628956908323450E-3	14.830616486442704E+0
211.000000000000030E+0	247.971585119024530E-3	15.415789675706282E+0
212.000000000000030E+0	178.009070620777000E-3	13.892700930441386E+0
213.000000000000030E+0	402.754408054769470E-3	14.286192878904247E+0
214.000000000000030E+0	384.012442140784280E-3	14.845241594378933E+0
215.000000000000030E+0	273.429530285097480E-3	14.419324429493859E+0
216.000000000000030E+0	261.956474583466550E-3	14.214124978091180E+0
217.000000000000030E+0	261.983741775569600E-3	13.554221251261131E+0
