Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
10.000000000000020E+0	436.053223475176780E-6	158.799351834473770E-3
11.000000000000021E+0	2.399517111313715E-3	337.434031548028870E-3
12.000000000000023E+0	364.648200535244090E-6	861.385585222097180E-3
13.000000000000025E+0	362.233197119071440E-6	912.866145570186300E-3
14.000000000000027E+0	3.727820499108017E-3	1.641937023892322E+0
15.000000000000028E+0	4.142037689586416E-3	2.383990995472649E+0
16.000000000000032E+0	8.126563513464668E-3	2.891137397667578E+0
17.000000000000036E+0	8.267765579806286E-3	4.287763388488307E+0
18.000000000000039E+0	9.671517713552012E-3	4.501692617612928E+0
19.000000000000043E+0	35.707104430222056E-3	4.324319804255268E+0
20.000000000000046E+0	28.342802158070578E-3	5.628175138995738E+0
21.000000000000050E+0	39.330341261833913E-3	7.113266212331813E+0
22.000000000000053E+0	39.921954638082797E-3	8.818828102715372E+0
23.000000000000057E+0	146.479477861318850E-3	10.582864498812961E+0
24.000000000000060E+0	222.376823283296610E-3	13.783330754623066E+0
25.000000000000064E+0	391.269113933425340E-3	20.926002815140436E+0
26.000000000000067E+0	702.077195332287740E-3	34.916158271985964E+0
27.000000000000071E+0	459.312774835972990E-3	32.265663523844111E+0
28.000000000000075E+0	412.131522098252320E-3	30.013986649481875E+0
29.000000000000078E+0	216.388489653851350E-3	16.916586107615082E+0
30.000000000000082E+0	46.016790089317326E-3	13.788051565532692E+0
31.000000000000085E+0	63.634021120699227E-3	21.563197466794243E+0
32.000000000000085E+0	192.091714197642180E-3	33.803532021635803E+0
33.000000000000085E+0	143.360461272522530E-3	30.715768287448590E+0
34.000000000000085E+0	393.630036131743910E-3	20.362486006272697E+0
35.000000000000085E+0	312.552935776411910E-3	15.577054749594003E+0
36.000000000000085E+0	200.966904167123510E-3	32.313557854803463E+0
37.000000000000085E+0	760.418094017497160E-3	55.369721443560252E+0
38.000000000000085E+0	1.021910301334847E+0	39.445334959315588E+0
39.000000000000085E+0	831.919319286103960E-3	17.893104850359567E+0
40.000000000000085E+0	1.862474102609500E+0	32.780371978807359E+0
41.000000000000085E+0	5.181431092742422E+0	72.911335303245352E+0
42.000000000000085E+0	3.545661815609152E+0	64.048239158011512E+0
43.000000000000085E+0	791.136401469122780E-3	28.344522832127375E+0
44.000000000000085E+0	349.512917069159990E-3	15.656321890024467E+0
45.000000000000085E+0	327.923306489258050E-3	41.812120919571640E+0
46.000000000000085E+0	430.385252550986310E-3	67.447605642236539E+0
47.000000000000085E+0	1.561092301481245E+0	61.754094427315792E+0
48.000000000000085E+0	1.448552213126048E+0	27.042255293481976E+0
49.000000000000085E+0	1.577673821994223E+0	23.543765704719192E+0
50.000000000000085E+0	4.814190578350129E+0	83.128928430603665E+0
51.000000000000085E+0	6.166663901782291E+0	110.068460224181560E+0
52.000000000000085E+0	3.131325189317840E+0	57.587919143144461E+0
53.000000000000085E+0	2.037613779001943E+0	28.647706904927539E+0
54.000000000000085E+0	4.724626763852924E+0	67.436615773542584E+0
55.000000000000085E+0	5.760911415451105E+0	87.676270760179619E+0
56.000000000000085E+0	6.237826630282825E+0	89.514157766764612E+0
57.000000000000085E+0	3.186805086265053E+0	56.780624926584878E+0
58.000000000000085E+0	808.119138034196440E-3	17.751720558333446E+0
59.000000000000085E+0	6.669572202860832E+0	96.332468166488070E+0
60.000000000000085E+0	14.575336924817410E+0	181.784477168618480E+0
61.000000000000085E+0	14.164264812766950E+0	113.975562240518980E+0
62.000000000000085E+0	10.217846892159528E+0	43.746169521623202E+0
63.000000000000085E+0	39.649120791693811E+0	135.719593755650810E+0
64.000000000000085E+0	62.855201846905892E+0	176.861990726952910E+0
65.000000000000085E+0	84.607051978993070E+0	212.850446125349350E+0
66.000000000000085E+0	70.481920952867568E+0	211.072391317780270E+0
67.000000000000085E+0	13.733738702547413E+0	71.002530110924084E+0
68.000000000000085E+0	28.571297666926021E+0	73.339481564344837E+0
69.000000000000085E+0	68.705514038355886E+0	237.152972667805390E+0
70.000000000000085E+0	49.793820025924347E+0	257.827498098266350E+0
71.000000000000085E+0	9.228223473312131E+0	98.463757205765830E+0
72.000000000000085E+0	8.607656165236930E+0	102.945557559205870E+0
73.000000000000085E+0	35.650069469409701E+0	266.173184955002510E+0
74.000000000000085E+0	38.354573172998293E+0	307.242879566178260E+0
75.000000000000085E+0	35.257425983700870E+0	297.220572020506840E+0
76.000000000000085E+0	30.386208092539924E+0	222.411600574132020E+0
77.000000000000085E+0	5.138531032706109E+0	115.089103057843060E+0
78.000000000000085E+0	46.600256369184521E+0	482.136443130809200E+0
79.000000000000085E+0	64.075971952833214E+0	508.214342779058200E+0
80.000000000000085E+0	17.112201385923392E+0	128.461490967546240E+0
81.000000000000085E+0	4.629278241023423E+0	67.354675108539496E+0
82.000000000000085E+0	12.954633430530265E+0	160.921299488737560E+0
83.000000000000085E+0	23.926894973041879E+0	223.651760982071750E+0
84.000000000000085E+0	22.631708784446516E+0	138.138446339516040E+0
85.000000000000085E+0	8.915885294671011E+0	53.428458490180255E+0
86.000000000000085E+0	9.548996571903208E+0	37.663684385979245E+0
87.000000000000085E+0	4.881616752574527E+0	37.434162602356750E+0
88.000000000000085E+0	21.018021494227153E+0	201.116087851426100E+0
89.000000000000085E+0	25.964077376594037E+0	162.932402473859330E+0
90.000000000000085E+0	3.536386030473035E+0	6.051183894393725E+0
91.000000000000085E+0	15.597815723640405E+0	57.000245465831071E+0
92.000000000000085E+0	33.194750214926145E+0	95.945690155983783E+0
93.000000000000085E+0	26.160536607334471E+0	59.485989137036981E+0
94.000000000000085E+0	22.606083637814546E+0	50.697861661512526E+0
95.000000000000085E+0	12.755200935573972E+0	27.047134532535729E+0
96.000000000000085E+0	21.293342352376211E+0	27.117338609163703E+0
97.000000000000085E+0	68.187676202987092E+0	110.943810535516690E+0
98.000000000000085E+0	72.853973334872663E+0	110.948577886973070E+0
99.000000000000085E+0	34.834803348368283E+0	46.321478586610596E+0
