Freq (Hz)	Coh_accelerometre /source
source
source
10.000000000000018E+0	584.738200600945950E-3
11.000000000000020E+0	926.714694859252730E-3
12.000000000000021E+0	578.179739633769900E-3
13.000000000000023E+0	58.727822738853803E-3
14.000000000000025E+0	873.296467489734110E-3
15.000000000000027E+0	806.041440174275370E-3
16.000000000000028E+0	784.661987499766230E-3
17.000000000000028E+0	737.367516517669740E-3
18.000000000000028E+0	832.376153596831920E-3
19.000000000000028E+0	947.899053059690800E-3
20.000000000000028E+0	937.899449245356730E-3
21.000000000000028E+0	971.972850926790530E-3
22.000000000000028E+0	975.073504020424140E-3
23.000000000000028E+0	989.351441853695720E-3
24.000000000000028E+0	990.394592507415460E-3
25.000000000000028E+0	995.794772070370930E-3
26.000000000000028E+0	995.562609402050660E-3
27.000000000000028E+0	993.616529799101980E-3
28.000000000000028E+0	996.313490856844060E-3
29.000000000000028E+0	994.880924837061140E-3
30.000000000000028E+0	971.226242918451390E-3
31.000000000000028E+0	981.915198586211460E-3
32.000000000000028E+0	992.828704270291460E-3
33.000000000000028E+0	982.622721735113450E-3
34.000000000000028E+0	990.829994108302080E-3
35.000000000000028E+0	985.368212651764660E-3
36.000000000000028E+0	913.299178319142980E-3
37.000000000000028E+0	965.953321196085570E-3
38.000000000000028E+0	987.229647190383420E-3
39.000000000000028E+0	985.311882885304690E-3
40.000000000000028E+0	984.890765054637130E-3
41.000000000000028E+0	994.371741524979980E-3
42.000000000000028E+0	991.801648047310080E-3
43.000000000000028E+0	967.047538409855470E-3
44.000000000000028E+0	907.128300049316100E-3
45.000000000000028E+0	913.978625692696170E-3
46.000000000000028E+0	939.581103312808970E-3
47.000000000000028E+0	986.979597326299360E-3
48.000000000000028E+0	992.533279027537960E-3
49.000000000000028E+0	982.587520472129380E-3
50.000000000000028E+0	988.562586801409180E-3
51.000000000000028E+0	991.585258872209500E-3
52.000000000000028E+0	995.426769936795570E-3
53.000000000000028E+0	993.292924578864420E-3
54.000000000000028E+0	996.095319268727190E-3
55.000000000000028E+0	997.120093310575940E-3
56.000000000000028E+0	995.510539453583590E-3
57.000000000000028E+0	990.881057710437550E-3
58.000000000000028E+0	982.503877701099700E-3
59.000000000000028E+0	994.467681890286000E-3
60.000000000000028E+0	993.819139934634660E-3
61.000000000000028E+0	995.603790780423160E-3
62.000000000000028E+0	991.872654399394430E-3
63.000000000000028E+0	991.960040507752880E-3
64.000000000000028E+0	991.840616723500770E-3
65.000000000000028E+0	991.514428317435300E-3
66.000000000000028E+0	993.091430052469360E-3
67.000000000000028E+0	991.270636637551770E-3
68.000000000000028E+0	989.159774827290340E-3
69.000000000000028E+0	994.363455847296460E-3
70.000000000000028E+0	995.706173363185010E-3
71.000000000000028E+0	994.464489794447460E-3
72.000000000000028E+0	987.577046826022990E-3
73.000000000000028E+0	994.813811444798300E-3
74.000000000000028E+0	995.284283852536530E-3
75.000000000000028E+0	997.478461603109710E-3
76.000000000000028E+0	997.470569256064590E-3
77.000000000000028E+0	996.039498823562910E-3
78.000000000000028E+0	997.062456925189130E-3
79.000000000000028E+0	996.863283337671820E-3
80.000000000000028E+0	992.932712938838340E-3
81.000000000000028E+0	984.347329606488410E-3
82.000000000000028E+0	983.583374437889790E-3
83.000000000000028E+0	989.327642133574940E-3
84.000000000000028E+0	992.783631393276850E-3
85.000000000000028E+0	991.907479014542680E-3
86.000000000000028E+0	994.302666861357820E-3
87.000000000000028E+0	982.357191188374610E-3
88.000000000000028E+0	993.646312744930870E-3
89.000000000000028E+0	995.489440598968930E-3
90.000000000000028E+0	977.153440114397860E-3
91.000000000000028E+0	992.640231329491200E-3
92.000000000000028E+0	995.537966337057160E-3
93.000000000000028E+0	995.167688787424120E-3
94.000000000000028E+0	997.495971729471240E-3
95.000000000000028E+0	994.724556786529930E-3
96.000000000000028E+0	992.713565191860050E-3
97.000000000000028E+0	994.780877519826580E-3
98.000000000000028E+0	994.022878213064450E-3
99.000000000000028E+0	987.098191117007920E-3
100.000000000000030E+0	961.576140944818250E-3
101.000000000000030E+0	983.409237943449590E-3
102.000000000000030E+0	984.218276679457270E-3
103.000000000000030E+0	950.438273098856420E-3
104.000000000000030E+0	986.998454065204140E-3
105.000000000000030E+0	975.995206786331230E-3
106.000000000000030E+0	975.053899015183020E-3
107.000000000000030E+0	983.646836963534830E-3
108.000000000000030E+0	971.902151963609520E-3
109.000000000000030E+0	893.941845520598850E-3
110.000000000000030E+0	984.237684513727620E-3
111.000000000000030E+0	988.670819526307420E-3
112.000000000000030E+0	991.362300343237580E-3
113.000000000000030E+0	993.600729512032930E-3
114.000000000000030E+0	992.905870385890620E-3
115.000000000000030E+0	997.895515831772050E-3
116.000000000000030E+0	998.573358007939120E-3
117.000000000000030E+0	997.956275878725150E-3
118.000000000000030E+0	996.545737664751300E-3
119.000000000000030E+0	829.573158764750800E-3
120.000000000000030E+0	986.500896074151260E-3
121.000000000000030E+0	989.383814199815910E-3
122.000000000000030E+0	958.552766306140280E-3
123.000000000000030E+0	991.145181729271130E-3
124.000000000000030E+0	987.835090524956660E-3
125.000000000000030E+0	988.805978350286610E-3
126.000000000000030E+0	984.942361706210740E-3
127.000000000000030E+0	976.051249751563210E-3
128.000000000000030E+0	873.052783424843830E-3
129.000000000000030E+0	970.418868468804980E-3
130.000000000000030E+0	965.076360298515510E-3
131.000000000000030E+0	914.918329276262040E-3
132.000000000000030E+0	431.400725929990740E-3
133.000000000000030E+0	930.028995406140260E-3
134.000000000000030E+0	942.691517372851950E-3
135.000000000000030E+0	971.088653601076660E-3
136.000000000000030E+0	980.203573919127490E-3
137.000000000000030E+0	984.260411740058400E-3
138.000000000000030E+0	758.714042993975820E-3
139.000000000000030E+0	948.900469622766080E-3
140.000000000000030E+0	909.807203568254400E-3
141.000000000000030E+0	900.304194840324310E-3
142.000000000000030E+0	967.919967868233200E-3
143.000000000000030E+0	984.449624300636760E-3
144.000000000000030E+0	990.445664168312030E-3
145.000000000000030E+0	992.378702802826250E-3
146.000000000000030E+0	987.774040031369260E-3
147.000000000000030E+0	961.877084016174000E-3
148.000000000000030E+0	868.231789555833690E-3
149.000000000000030E+0	980.738229344601640E-3
150.000000000000030E+0	959.635236075183640E-3
151.000000000000030E+0	957.698294538044560E-3
152.000000000000030E+0	992.278320034762790E-3
153.000000000000030E+0	994.879695560040520E-3
154.000000000000030E+0	996.338363661534500E-3
155.000000000000030E+0	995.369671614789510E-3
156.000000000000030E+0	968.499234564502490E-3
157.000000000000030E+0	986.055365861582040E-3
158.000000000000030E+0	990.482167318545330E-3
159.000000000000030E+0	988.356551476455850E-3
160.000000000000030E+0	980.000374269234360E-3
161.000000000000030E+0	994.138710815022920E-3
162.000000000000030E+0	998.716164199372260E-3
163.000000000000030E+0	997.844718238648510E-3
164.000000000000030E+0	991.009946657104620E-3
165.000000000000030E+0	990.359166876949470E-3
166.000000000000030E+0	950.190374326332240E-3
167.000000000000030E+0	992.474741518837190E-3
168.000000000000030E+0	997.005818560955710E-3
169.000000000000030E+0	995.523930427246290E-3
170.000000000000030E+0	996.451605648638110E-3
171.000000000000030E+0	995.201949329695740E-3
172.000000000000030E+0	995.540343777653660E-3
173.000000000000030E+0	993.370186552147700E-3
174.000000000000030E+0	983.595238789471970E-3
175.000000000000030E+0	977.579576142461600E-3
176.000000000000030E+0	993.774386372870410E-3
177.000000000000030E+0	982.566617369093560E-3
178.000000000000030E+0	978.310008418675550E-3
179.000000000000030E+0	769.377064009145070E-3
180.000000000000030E+0	986.331647501128230E-3
181.000000000000030E+0	996.958205047426710E-3
182.000000000000030E+0	990.858774200448990E-3
183.000000000000030E+0	988.080712150778420E-3
184.000000000000030E+0	990.228734563131760E-3
185.000000000000030E+0	991.255856294800290E-3
186.000000000000030E+0	997.233233728798570E-3
187.000000000000030E+0	997.347696647484240E-3
188.000000000000030E+0	988.107523281102850E-3
189.000000000000030E+0	993.219512189257860E-3
190.000000000000030E+0	997.845382836386020E-3
191.000000000000030E+0	998.951481977269130E-3
192.000000000000030E+0	996.472487801268850E-3
193.000000000000030E+0	991.859545456711070E-3
194.000000000000030E+0	996.769521873119070E-3
195.000000000000030E+0	995.030429463773620E-3
196.000000000000030E+0	995.042142263744770E-3
197.000000000000030E+0	997.950166919899350E-3
198.000000000000030E+0	989.143249531848180E-3
199.000000000000030E+0	996.642153072680890E-3
200.000000000000030E+0	997.057338676429320E-3
201.000000000000030E+0	992.471322146626480E-3
202.000000000000030E+0	993.772830592552390E-3
203.000000000000030E+0	993.573320279713790E-3
204.000000000000030E+0	996.444437351527770E-3
205.000000000000030E+0	995.804949006285240E-3
206.000000000000030E+0	995.540777085556440E-3
207.000000000000030E+0	991.187791720556930E-3
208.000000000000030E+0	990.246626538156320E-3
209.000000000000030E+0	991.753960495664670E-3
210.000000000000030E+0	987.126729674569820E-3
211.000000000000030E+0	970.133373945416430E-3
212.000000000000030E+0	994.840513269760530E-3
213.000000000000030E+0	983.087572251473470E-3
214.000000000000030E+0	992.172410692206740E-3
215.000000000000030E+0	996.444615511139610E-3
216.000000000000030E+0	985.054924523301010E-3
217.000000000000030E+0	985.416815466887750E-3
218.000000000000030E+0	997.308080203453410E-3
219.000000000000030E+0	991.639052967870910E-3
220.000000000000030E+0	991.096920173313520E-3
221.000000000000030E+0	990.461100537778250E-3
222.000000000000030E+0	993.578567571701930E-3
223.000000000000030E+0	993.324127249328390E-3
224.000000000000030E+0	983.423169843557820E-3
225.000000000000030E+0	986.926913225230850E-3
226.000000000000030E+0	974.755945715941820E-3
227.000000000000030E+0	942.445144544518440E-3
228.000000000000030E+0	943.788927748951070E-3
229.000000000000030E+0	931.098972397475740E-3
230.000000000000030E+0	936.948024749098440E-3
231.000000000000030E+0	916.331539509501970E-3
232.000000000000030E+0	902.228546380006490E-3
233.000000000000030E+0	931.295808123804300E-3
234.000000000000030E+0	968.973746286184490E-3
235.000000000000030E+0	981.138838469616470E-3
236.000000000000030E+0	984.098723031182730E-3
237.000000000000030E+0	986.831425273337780E-3
238.000000000000030E+0	991.785217228316700E-3
239.000000000000030E+0	946.061619795938830E-3
240.000000000000030E+0	824.532415946636840E-3
241.000000000000030E+0	962.788631895237000E-3
242.000000000000030E+0	965.423510491844270E-3
243.000000000000030E+0	973.757774408244510E-3
244.000000000000030E+0	974.519261635851450E-3
245.000000000000030E+0	932.282033964341730E-3
246.000000000000030E+0	869.598453953658200E-3
247.000000000000030E+0	844.514855379253970E-3
248.000000000000030E+0	859.141991589828730E-3
249.000000000000030E+0	889.988517194301160E-3
250.000000000000030E+0	943.391629374952690E-3
251.000000000000030E+0	958.898927624761590E-3
252.000000000000030E+0	967.064870339850000E-3
253.000000000000030E+0	970.932031768542590E-3
254.000000000000030E+0	956.093090662559430E-3
255.000000000000030E+0	906.005565861595530E-3
256.000000000000060E+0	239.774076201437540E-3
257.000000000000060E+0	803.197771529697960E-3
258.000000000000060E+0	761.658283651518000E-3
259.000000000000060E+0	950.927951810451200E-3
260.000000000000060E+0	982.940711426950050E-3
261.000000000000060E+0	989.231678315826700E-3
262.000000000000060E+0	972.980593498089190E-3
263.000000000000060E+0	926.978348029437240E-3
264.000000000000060E+0	99.818028352551907E-3
265.000000000000060E+0	696.784821478197980E-3
266.000000000000060E+0	900.144560538479350E-3
267.000000000000060E+0	954.665253381497100E-3
268.000000000000060E+0	984.860074237131400E-3
269.000000000000060E+0	984.988324958659950E-3
270.000000000000060E+0	968.235206885795230E-3
271.000000000000060E+0	964.941360272730700E-3
272.000000000000060E+0	838.633704657051000E-3
273.000000000000060E+0	791.625753474624830E-3
274.000000000000060E+0	799.412250625484710E-3
275.000000000000060E+0	655.407711689042330E-3
276.000000000000060E+0	879.999483534329000E-3
277.000000000000060E+0	906.954635275052380E-3
278.000000000000060E+0	893.856144539323380E-3
279.000000000000060E+0	965.994625012375980E-3
280.000000000000060E+0	962.768432439426560E-3
281.000000000000060E+0	957.504244896398850E-3
282.000000000000060E+0	958.583705432579200E-3
283.000000000000060E+0	986.107448463026780E-3
284.000000000000060E+0	980.429185172791650E-3
285.000000000000060E+0	981.280043199160840E-3
286.000000000000060E+0	979.458894480606970E-3
287.000000000000060E+0	890.507266112455120E-3
288.000000000000060E+0	985.167112448229740E-3
289.000000000000060E+0	990.073263865878570E-3
290.000000000000060E+0	987.690083842991390E-3
291.000000000000060E+0	982.386197814472780E-3
292.000000000000060E+0	988.653513334845190E-3
293.000000000000060E+0	985.738879739897820E-3
294.000000000000060E+0	972.843298507183540E-3
295.000000000000060E+0	953.009016474209880E-3
296.000000000000060E+0	959.062414136222400E-3
297.000000000000060E+0	963.745573177545390E-3
298.000000000000060E+0	956.057019032862330E-3
299.000000000000060E+0	952.844869421946350E-3
300.000000000000060E+0	931.754149431622270E-3
301.000000000000060E+0	838.705862971030220E-3
302.000000000000060E+0	898.095062164704470E-3
303.000000000000060E+0	949.888522904019370E-3
304.000000000000060E+0	884.271443335713280E-3
305.000000000000060E+0	903.036701350250490E-3
306.000000000000060E+0	846.281798470777450E-3
307.000000000000060E+0	951.630981675126610E-3
308.000000000000060E+0	951.828298567628850E-3
309.000000000000060E+0	931.689340272388260E-3
310.000000000000060E+0	972.443931080749220E-3
311.000000000000060E+0	983.298712968535880E-3
312.000000000000060E+0	985.877907828211160E-3
313.000000000000060E+0	977.061386534629820E-3
314.000000000000060E+0	989.970005630927190E-3
315.000000000000060E+0	984.717744219045790E-3
316.000000000000060E+0	991.459731986786500E-3
317.000000000000060E+0	995.290326539512100E-3
318.000000000000060E+0	992.981606214399570E-3
319.000000000000060E+0	984.261639310630150E-3
320.000000000000060E+0	993.189972325109080E-3
