Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
10.000000000000020E+0	2.346098770751088E-3	187.196874778468660E-3
11.000000000000021E+0	2.179581145891394E-3	359.449645675290700E-3
12.000000000000023E+0	609.877069668134310E-6	1.012824140091872E+0
13.000000000000025E+0	511.072591375261150E-6	1.048964056217871E+0
14.000000000000027E+0	9.294966743721256E-3	1.768311013795160E+0
15.000000000000028E+0	21.800855572749179E-3	2.511697186370904E+0
16.000000000000032E+0	1.112609428501383E-3	3.180016770645563E+0
17.000000000000036E+0	12.394327713737724E-3	4.532933947180284E+0
18.000000000000039E+0	33.377947250256945E-3	4.851527304003218E+0
19.000000000000043E+0	6.467993285152550E-3	5.168023831981535E+0
20.000000000000046E+0	43.561515384910210E-3	6.081855376594096E+0
21.000000000000050E+0	46.633618572840076E-3	8.281083145911939E+0
22.000000000000053E+0	63.717997818428213E-3	9.704582794957743E+0
23.000000000000057E+0	104.515756641077600E-3	10.428642435116288E+0
24.000000000000060E+0	291.195442740510460E-3	17.142981429783056E+0
25.000000000000064E+0	677.220323872817050E-3	23.371930845515983E+0
26.000000000000067E+0	1.727571475305693E+0	40.904060541205197E+0
27.000000000000071E+0	999.734675014998460E-3	33.200504315097916E+0
28.000000000000075E+0	655.003241547587270E-3	32.281638659864463E+0
29.000000000000078E+0	265.866087228100900E-3	17.474893756840967E+0
30.000000000000082E+0	544.080372127808690E-3	14.946399733581933E+0
31.000000000000085E+0	2.478791043118984E+0	23.711380849026781E+0
32.000000000000085E+0	2.997007087626131E+0	29.787932017051638E+0
33.000000000000085E+0	2.475357061609316E+0	28.827270225711761E+0
34.000000000000085E+0	1.101275039509992E+0	19.352860887148307E+0
35.000000000000085E+0	1.888517587933084E+0	15.536363954568040E+0
36.000000000000085E+0	4.542416711812806E+0	37.015016713305201E+0
37.000000000000085E+0	2.020484087512350E+0	57.650206495734871E+0
38.000000000000085E+0	581.931927314932600E-3	37.931296331627941E+0
39.000000000000085E+0	422.514856708181620E-3	17.377229433507132E+0
40.000000000000085E+0	431.878915800067210E-3	33.779877253716656E+0
41.000000000000085E+0	793.573075787319610E-3	75.177599928731297E+0
42.000000000000085E+0	915.166056149323560E-3	71.917393981634603E+0
43.000000000000085E+0	610.212843515590240E-3	32.100369379385008E+0
44.000000000000085E+0	374.838742152952820E-3	19.027002662322541E+0
45.000000000000085E+0	1.036394174936663E+0	45.983374284092122E+0
46.000000000000085E+0	2.042385280024113E+0	77.075650818494410E+0
47.000000000000085E+0	2.236688236772039E+0	66.327966430304542E+0
48.000000000000085E+0	958.038039764303790E-3	25.012110510624538E+0
49.000000000000085E+0	1.001333215428508E+0	23.773108682039698E+0
50.000000000000085E+0	2.495467684382163E+0	83.959175044526660E+0
51.000000000000085E+0	2.858604241364258E+0	115.081797350201330E+0
52.000000000000085E+0	1.349247647593208E+0	60.321678797111801E+0
53.000000000000085E+0	286.698693059447560E-3	28.048726785443442E+0
54.000000000000085E+0	1.033691411909544E+0	66.072466645667106E+0
55.000000000000085E+0	2.168376349110786E+0	92.842965138292072E+0
56.000000000000085E+0	2.599546260785023E+0	102.187850673764740E+0
57.000000000000085E+0	2.307868009716458E+0	71.320338395199229E+0
58.000000000000085E+0	1.151257321547414E+0	24.667547534182955E+0
59.000000000000085E+0	4.459565120223953E+0	111.730542799267740E+0
60.000000000000085E+0	10.164848501052235E+0	235.433538352784580E+0
61.000000000000085E+0	8.216430703662834E+0	152.636335965058780E+0
62.000000000000085E+0	5.743614117360596E+0	71.858905000179476E+0
63.000000000000085E+0	17.284253710601114E+0	220.936163484079830E+0
64.000000000000085E+0	26.304475006382205E+0	320.139029415824380E+0
65.000000000000085E+0	31.542479394028639E+0	410.196102593227070E+0
66.000000000000085E+0	24.274704735117574E+0	360.260001670707990E+0
67.000000000000085E+0	5.725019354724141E+0	100.164273955547570E+0
68.000000000000085E+0	7.264130763116318E+0	105.251473530051270E+0
69.000000000000085E+0	17.399045232751224E+0	363.605632199453680E+0
70.000000000000085E+0	14.119860235847351E+0	375.743011094227600E+0
71.000000000000085E+0	3.222382364784591E+0	137.859428641790150E+0
72.000000000000085E+0	4.098187346859177E+0	131.222373412962500E+0
73.000000000000085E+0	7.743821163539489E+0	308.085377962985490E+0
74.000000000000085E+0	5.511022369534669E+0	298.398791031885480E+0
75.000000000000085E+0	4.734052658601689E+0	270.561556748954160E+0
76.000000000000085E+0	3.694879905606555E+0	190.681830852610740E+0
77.000000000000085E+0	534.454752320855930E-3	76.100044819836853E+0
78.000000000000085E+0	4.221200565767190E+0	341.702129046291590E+0
79.000000000000085E+0	4.897425825063175E+0	389.370014452021680E+0
80.000000000000085E+0	1.363855348401976E+0	115.319486425368880E+0
81.000000000000085E+0	38.357422244017413E-3	64.870896335750217E+0
82.000000000000085E+0	50.694196293436800E-3	143.506357312777880E+0
83.000000000000085E+0	451.880999411324870E-3	209.596525938555630E+0
84.000000000000085E+0	732.140903316554350E-3	134.777744436616930E+0
85.000000000000085E+0	127.376166385473330E-3	55.843654719353388E+0
86.000000000000085E+0	390.029610149583870E-3	43.817694976339844E+0
87.000000000000085E+0	1.023493263795679E+0	50.943374668222631E+0
88.000000000000085E+0	3.319105554715286E+0	222.292039829388930E+0
89.000000000000085E+0	1.721618061331990E+0	173.790429834350020E+0
90.000000000000085E+0	484.120778003000240E-3	3.763001268865379E+0
91.000000000000085E+0	2.967076093402485E+0	70.306118297230427E+0
92.000000000000085E+0	2.085154998355959E+0	113.116075089994720E+0
93.000000000000085E+0	962.535758414723160E-3	67.929058896951588E+0
94.000000000000085E+0	1.330493207652339E+0	58.607100298029515E+0
95.000000000000085E+0	211.367732622758150E-3	27.212862073204754E+0
96.000000000000085E+0	3.030276702974058E+0	29.487194480771091E+0
97.000000000000085E+0	10.660949315539309E+0	118.147292976987190E+0
98.000000000000085E+0	8.361846611463532E+0	113.264284349681470E+0
99.000000000000085E+0	2.336070989231141E+0	41.491780659436799E+0
