Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
10.000000000000020E+0	2.928173005115357E-3	167.535194129942250E-3
11.000000000000021E+0	1.534467556577791E-3	306.424953073692500E-3
12.000000000000023E+0	1.294395396430739E-3	852.464623620611260E-3
13.000000000000025E+0	3.469867020849120E-3	871.108044127588910E-3
14.000000000000027E+0	1.432500272067786E-3	1.788087123362311E+0
15.000000000000028E+0	9.800598859244157E-3	2.379223345462294E+0
16.000000000000032E+0	7.720112313526148E-3	2.982111222545554E+0
17.000000000000036E+0	9.160974818987467E-3	4.072022680817381E+0
18.000000000000039E+0	19.614681848158736E-3	4.448531396296857E+0
19.000000000000043E+0	23.368683671593941E-3	4.681749959759076E+0
20.000000000000046E+0	53.379292705666603E-3	6.046698681715180E+0
21.000000000000050E+0	72.327884084035815E-3	7.191647763007831E+0
22.000000000000053E+0	52.117796061847257E-3	9.380752830509257E+0
23.000000000000057E+0	210.672254646281640E-3	10.670192811097857E+0
24.000000000000060E+0	298.352248316987870E-3	15.701721010952207E+0
25.000000000000064E+0	589.746902131971890E-3	23.061080159335184E+0
26.000000000000067E+0	959.806092858187850E-3	40.108151265795996E+0
27.000000000000071E+0	492.201672473254690E-3	29.194238031112757E+0
28.000000000000075E+0	417.581899182395130E-3	29.014768599441982E+0
29.000000000000078E+0	207.924676574183930E-3	17.174329984183618E+0
30.000000000000082E+0	66.267125327523477E-3	13.125292053048238E+0
31.000000000000085E+0	95.433150675602915E-3	21.376140430608050E+0
32.000000000000085E+0	227.191576280807050E-3	31.288967940631505E+0
33.000000000000085E+0	243.925632573628090E-3	29.164508923977326E+0
34.000000000000085E+0	335.887523264667750E-3	18.786870958072328E+0
35.000000000000085E+0	242.437089769606370E-3	14.643023280523542E+0
36.000000000000085E+0	329.448175488059990E-3	32.003482018522128E+0
37.000000000000085E+0	930.888513178312340E-3	55.281862583582480E+0
38.000000000000085E+0	1.271954680725054E+0	38.079059218787464E+0
39.000000000000085E+0	960.015959416605450E-3	18.584660534705588E+0
40.000000000000085E+0	2.272577555679066E+0	34.337778025901244E+0
41.000000000000085E+0	5.114443962358746E+0	74.770741526269816E+0
42.000000000000085E+0	4.114853677731119E+0	67.470557864146173E+0
43.000000000000085E+0	892.465837384255560E-3	28.310337792443555E+0
44.000000000000085E+0	280.395079098027410E-3	15.534035552128620E+0
45.000000000000085E+0	291.648467803529650E-3	44.239887598542118E+0
46.000000000000085E+0	591.815502905712050E-3	68.914263700807268E+0
47.000000000000085E+0	2.298974375819040E+0	59.635563113439183E+0
48.000000000000085E+0	1.506902601317745E+0	28.269211748059668E+0
49.000000000000085E+0	1.780002202062205E+0	21.817971589772643E+0
50.000000000000085E+0	5.809177590436778E+0	82.326033126558599E+0
51.000000000000085E+0	8.129526651580104E+0	115.143326113430060E+0
52.000000000000085E+0	4.593531556997680E+0	64.798862795097207E+0
53.000000000000085E+0	2.660243669255581E+0	31.615656357365175E+0
54.000000000000085E+0	6.302873680057602E+0	73.242356552275368E+0
55.000000000000085E+0	8.422838544010879E+0	97.575122403656053E+0
56.000000000000085E+0	8.348927323604329E+0	97.835772244534638E+0
57.000000000000085E+0	3.953915547655738E+0	60.430848126518541E+0
58.000000000000085E+0	991.201120097853330E-3	17.718709615988352E+0
59.000000000000085E+0	9.349583800665915E+0	103.465060152572230E+0
60.000000000000085E+0	19.299814512383652E+0	194.295827931616460E+0
61.000000000000085E+0	14.543719197709308E+0	115.336307219307940E+0
62.000000000000085E+0	7.236214397827970E+0	41.106413419159900E+0
63.000000000000085E+0	32.462258588430885E+0	138.054221836445490E+0
64.000000000000085E+0	53.952436182026403E+0	188.470132952146680E+0
65.000000000000085E+0	71.167763422434547E+0	221.630920585998350E+0
66.000000000000085E+0	64.601139073313831E+0	223.472092774518390E+0
67.000000000000085E+0	16.415355474725786E+0	77.454881421878554E+0
68.000000000000085E+0	19.647585911350880E+0	71.155979497835645E+0
69.000000000000085E+0	49.002246927905134E+0	218.943074237783010E+0
70.000000000000085E+0	42.380152725819684E+0	232.585833619312780E+0
71.000000000000085E+0	11.547994924859777E+0	88.208507153345650E+0
72.000000000000085E+0	6.609768236260192E+0	89.441087253669849E+0
73.000000000000085E+0	27.349984008113363E+0	223.640275822676900E+0
74.000000000000085E+0	31.783098982815339E+0	258.847151686086930E+0
75.000000000000085E+0	32.288837866330901E+0	254.925686754658870E+0
76.000000000000085E+0	31.996448212721610E+0	186.034111194373650E+0
77.000000000000085E+0	11.271130217851434E+0	99.527721436863459E+0
78.000000000000085E+0	47.817846066506760E+0	410.539353944792420E+0
79.000000000000085E+0	70.820627847497462E+0	436.626601616407070E+0
80.000000000000085E+0	24.804086944362645E+0	118.683853138166300E+0
81.000000000000085E+0	10.491990987916598E+0	65.238389130156932E+0
82.000000000000085E+0	24.543179393567527E+0	145.507916826094340E+0
83.000000000000085E+0	38.923389218122317E+0	208.154680876186150E+0
84.000000000000085E+0	29.916672078330958E+0	133.225469608737820E+0
85.000000000000085E+0	13.170776070544363E+0	56.066135245421400E+0
86.000000000000085E+0	12.067444053626380E+0	39.491734682808570E+0
87.000000000000085E+0	10.506426740843835E+0	42.204906205180308E+0
88.000000000000085E+0	38.886528008825266E+0	207.125272018336630E+0
89.000000000000085E+0	34.678154060180248E+0	159.143164122151750E+0
90.000000000000085E+0	1.382024358830123E+0	4.717572672240266E+0
91.000000000000085E+0	19.423665716152463E+0	56.117847826656636E+0
92.000000000000085E+0	33.565901465601541E+0	94.275134585379661E+0
93.000000000000085E+0	22.434983871956284E+0	56.406868253638514E+0
94.000000000000085E+0	18.816144359799953E+0	48.328457523739850E+0
95.000000000000085E+0	8.659502037098685E+0	24.623719988985805E+0
96.000000000000085E+0	11.951560884381577E+0	25.326615426308571E+0
97.000000000000085E+0	40.998181762502689E+0	102.531605661815580E+0
98.000000000000085E+0	44.462292148493894E+0	101.323914253552930E+0
99.000000000000085E+0	21.465523779165757E+0	41.604662170715486E+0
