Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
100.000000000000090E+0	827.340395953044320E-3	7.416458746544594E+0
101.000000000000090E+0	2.590660913764937E+0	109.377433805394640E+0
102.000000000000090E+0	2.442182341367398E+0	151.772757987159020E+0
103.000000000000090E+0	3.114869655035686E+0	27.121952046999155E+0
104.000000000000090E+0	4.385738580390258E+0	57.137980424046098E+0
105.000000000000090E+0	2.602119643109560E+0	25.886386642244286E+0
106.000000000000090E+0	5.292800860075710E+0	68.446603789214890E+0
107.000000000000090E+0	12.495718952597505E+0	175.193690888937770E+0
108.000000000000090E+0	8.913878434073053E+0	94.346983771630761E+0
109.000000000000090E+0	389.097474732668650E-3	6.784990508587794E+0
110.000000000000090E+0	9.473144541075850E+0	78.057574358516689E+0
111.000000000000090E+0	17.469661403367596E+0	153.225886686493230E+0
112.000000000000090E+0	10.196795572820838E+0	90.593413790282852E+0
113.000000000000090E+0	5.283762025752748E+0	49.292570292715368E+0
114.000000000000090E+0	6.835198585112761E+0	26.402455847487545E+0
115.000000000000090E+0	16.856294775882656E+0	83.149578550843245E+0
116.000000000000090E+0	19.326058446996551E+0	117.840914154859480E+0
117.000000000000090E+0	28.215559462899478E+0	181.302608157895430E+0
118.000000000000090E+0	15.485441519662107E+0	99.738209103330106E+0
119.000000000000090E+0	7.403065520294566E+0	14.789329448844118E+0
120.000000000000090E+0	89.790396315672098E+0	321.904494087254420E+0
121.000000000000090E+0	95.449623136201239E+0	352.205618832922600E+0
122.000000000000090E+0	37.143523723913688E+0	63.446448349337423E+0
123.000000000000090E+0	74.519274117103862E+0	180.183008536228900E+0
124.000000000000090E+0	50.200953516931591E+0	111.263316900663280E+0
125.000000000000090E+0	152.528336798695510E+0	374.141383480317640E+0
126.000000000000090E+0	163.123421037100710E+0	407.870460733474200E+0
127.000000000000090E+0	100.904937246784970E+0	274.269492539554560E+0
128.000000000000090E+0	20.428727898140988E+0	40.894144244390318E+0
129.000000000000090E+0	205.360024415606490E+0	282.345181631254490E+0
130.000000000000090E+0	297.671407121608350E+0	461.372556980505120E+0
131.000000000000090E+0	176.957522747992020E+0	266.859179013051630E+0
132.000000000000090E+0	58.023671953708707E+0	61.128496051464481E+0
133.000000000000090E+0	148.974913749847330E+0	181.412859600846500E+0
134.000000000000090E+0	123.660380985272720E+0	194.879093553443200E+0
135.000000000000090E+0	99.850928954226248E+0	160.022455154351320E+0
136.000000000000090E+0	129.964969312363590E+0	224.102057891299490E+0
137.000000000000090E+0	19.620256011314090E+0	63.354988931498404E+0
138.000000000000090E+0	79.734932680135884E+0	80.614134067930180E+0
139.000000000000090E+0	212.773933127032250E+0	303.464605460519460E+0
140.000000000000090E+0	94.259063852002427E+0	156.990667458479090E+0
141.000000000000090E+0	48.950803705678183E+0	66.682605667618063E+0
142.000000000000090E+0	39.736295233536644E+0	55.217583538338523E+0
143.000000000000090E+0	57.234375658734336E+0	102.333846518332990E+0
144.000000000000090E+0	53.847586161225671E+0	118.359299376916710E+0
145.000000000000090E+0	32.017996300038291E+0	76.712322660929516E+0
146.000000000000090E+0	27.638487349620881E+0	78.159128781742197E+0
147.000000000000090E+0	5.818027129018864E+0	28.721169480990181E+0
148.000000000000090E+0	105.568313599306250E+0	135.025569334059900E+0
149.000000000000090E+0	138.159800978826840E+0	230.201070442453730E+0
150.000000000000090E+0	36.251326946170742E+0	82.153782524143381E+0
151.000000000000090E+0	25.267097901721069E+0	34.027686679205843E+0
152.000000000000090E+0	82.625584240813623E+0	132.139424493249860E+0
153.000000000000090E+0	53.747270981853532E+0	127.563226880808930E+0
154.000000000000090E+0	35.514700986151823E+0	95.905932353026856E+0
155.000000000000090E+0	30.404794977768745E+0	112.125332644027740E+0
156.000000000000090E+0	3.052025338916622E+0	32.920232598376877E+0
157.000000000000090E+0	37.679465057559859E+0	138.996915499294970E+0
