Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
10.000000000000020E+0	3.219527947677493E-3	180.260522250272640E-3
11.000000000000021E+0	4.630100569496838E-3	346.232128681807800E-3
12.000000000000023E+0	4.145454101621418E-3	961.923407745326920E-3
13.000000000000025E+0	3.430990450759604E-3	1.052605599705205E+0
14.000000000000027E+0	15.548352254899806E-3	1.832774314915923E+0
15.000000000000028E+0	35.370385146829733E-3	2.652711421055553E+0
16.000000000000032E+0	707.777462875489930E-6	3.256571368368191E+0
17.000000000000036E+0	3.734008348375015E-3	4.439395694712479E+0
18.000000000000039E+0	28.512525971026742E-3	4.945601081873423E+0
19.000000000000043E+0	11.105661062434874E-3	5.231506796500730E+0
20.000000000000046E+0	29.160194107940480E-3	6.247587655599022E+0
21.000000000000050E+0	25.020207714530000E-3	8.309934830903760E+0
22.000000000000053E+0	70.657151644294480E-3	9.496888539663894E+0
23.000000000000057E+0	94.706087658359986E-3	11.075320364174512E+0
24.000000000000060E+0	191.285885879338170E-3	17.060467078836133E+0
25.000000000000064E+0	555.796812321089020E-3	23.410049884917452E+0
26.000000000000067E+0	1.487922805838763E+0	41.884614103291469E+0
27.000000000000071E+0	961.008754942227480E-3	34.246966072809968E+0
28.000000000000075E+0	618.034722514922530E-3	32.475926195272422E+0
29.000000000000078E+0	225.282119567773300E-3	18.080896375651722E+0
30.000000000000082E+0	294.794664925955070E-3	14.899270888575890E+0
31.000000000000085E+0	1.688415086280593E+0	23.214347557899554E+0
32.000000000000085E+0	2.682679136938047E+0	31.940120108043196E+0
33.000000000000085E+0	2.349440424342899E+0	29.884977472073825E+0
34.000000000000085E+0	1.096295832651799E+0	19.768125540634802E+0
35.000000000000085E+0	1.333413854949377E+0	16.197378135131014E+0
36.000000000000085E+0	3.743599328991614E+0	37.297938214177449E+0
37.000000000000085E+0	2.671918434162591E+0	58.309698054586576E+0
38.000000000000085E+0	799.591015910665840E-3	39.081082457656336E+0
39.000000000000085E+0	672.535418283943250E-3	17.272563492477957E+0
40.000000000000085E+0	966.579440258474420E-3	34.478324518858713E+0
41.000000000000085E+0	1.632486357417991E+0	76.433569510475820E+0
42.000000000000085E+0	803.366856076539900E-3	73.894468898354503E+0
43.000000000000085E+0	300.416118383028230E-3	34.214137558035944E+0
44.000000000000085E+0	86.474388157795984E-3	19.490983120273736E+0
45.000000000000085E+0	232.752071924882700E-3	47.309205286816777E+0
46.000000000000085E+0	689.355165462195330E-3	80.147861374191009E+0
47.000000000000085E+0	641.931636028423070E-3	70.435970047517017E+0
48.000000000000085E+0	346.372169360902040E-3	25.031217890858755E+0
49.000000000000085E+0	304.120196632034990E-3	23.788689966323684E+0
50.000000000000085E+0	784.763715966738440E-3	84.529807914355516E+0
51.000000000000085E+0	1.227612227747747E+0	112.461711428521610E+0
52.000000000000085E+0	678.609732692297300E-3	58.132664324838871E+0
53.000000000000085E+0	228.684758820252130E-3	26.057888106522210E+0
54.000000000000085E+0	693.369160934355080E-3	63.271574378365400E+0
55.000000000000085E+0	1.608354396641942E+0	89.818841385148218E+0
56.000000000000085E+0	1.774394742443264E+0	99.256034995122761E+0
57.000000000000085E+0	1.658154587937266E+0	70.580445788680777E+0
58.000000000000085E+0	917.586982167950200E-3	23.646581667124707E+0
59.000000000000085E+0	3.350028837636690E+0	108.454495901915980E+0
60.000000000000085E+0	8.288210896301537E+0	229.413362325362560E+0
61.000000000000085E+0	6.959184492333755E+0	147.542330435104470E+0
62.000000000000085E+0	5.129548418059517E+0	68.986164682117106E+0
63.000000000000085E+0	16.262160391251722E+0	213.792699647447930E+0
64.000000000000085E+0	26.603949640295070E+0	326.517254016156020E+0
65.000000000000085E+0	35.627485435471172E+0	432.313232768933800E+0
66.000000000000085E+0	30.183490068216638E+0	367.490468809458890E+0
67.000000000000085E+0	8.884543785006707E+0	101.480033268334640E+0
68.000000000000085E+0	9.186165631192953E+0	112.830735868525200E+0
69.000000000000085E+0	22.465980561306299E+0	378.994204073854180E+0
70.000000000000085E+0	15.893229484926962E+0	380.527829568134510E+0
71.000000000000085E+0	4.255713881716195E+0	139.088733262412520E+0
72.000000000000085E+0	6.448041443337706E+0	130.359806598943980E+0
73.000000000000085E+0	12.969510702230110E+0	312.812415077151060E+0
74.000000000000085E+0	9.161256354302990E+0	303.557510780054490E+0
75.000000000000085E+0	7.800259094527090E+0	271.831636047296570E+0
76.000000000000085E+0	4.480806934240027E+0	194.379900819555960E+0
77.000000000000085E+0	1.058703228027746E+0	77.406023429577814E+0
78.000000000000085E+0	7.523488914629004E+0	347.452777298214980E+0
79.000000000000085E+0	7.499167977156048E+0	401.469929069272890E+0
80.000000000000085E+0	1.555294816866748E+0	117.513825926081080E+0
81.000000000000085E+0	119.723956270876580E-3	65.800473768702005E+0
82.000000000000085E+0	32.763784393230896E-3	144.311388140671140E+0
83.000000000000085E+0	1.305964178245181E+0	209.619125466074220E+0
84.000000000000085E+0	1.777662308721238E+0	137.179423868325270E+0
85.000000000000085E+0	673.829685287404170E-3	57.136304182964501E+0
86.000000000000085E+0	448.003932964357370E-3	44.043217479213368E+0
87.000000000000085E+0	565.992005701425270E-3	52.018152607769664E+0
88.000000000000085E+0	3.599640180043399E+0	226.860664823523540E+0
89.000000000000085E+0	2.676891440293024E+0	176.326320424254990E+0
90.000000000000085E+0	664.421464132110890E-3	3.939052448316207E+0
91.000000000000085E+0	2.999893207752943E+0	70.057518230221078E+0
92.000000000000085E+0	2.446024538561570E+0	112.059952868950970E+0
93.000000000000085E+0	1.245963125828062E+0	66.581924584922149E+0
94.000000000000085E+0	953.276064447207030E-3	57.048445202535348E+0
95.000000000000085E+0	50.984548403345452E-3	27.148870599670705E+0
96.000000000000085E+0	4.381451937375862E+0	30.198183150813900E+0
97.000000000000085E+0	14.596824949711902E+0	122.572707303462110E+0
98.000000000000085E+0	10.265760762749327E+0	114.766722899683400E+0
99.000000000000085E+0	2.355469765820526E+0	41.316183495343083E+0
