Freq (Hz)	Coh_accelerometre /source
source
source
10.000000000000018E+0	961.381934597155710E-3
11.000000000000020E+0	984.787996419444260E-3
12.000000000000021E+0	987.686956931265180E-3
13.000000000000023E+0	981.575229772405190E-3
14.000000000000025E+0	997.677130991408760E-3
15.000000000000027E+0	998.921912090726670E-3
16.000000000000028E+0	991.921561243283230E-3
17.000000000000028E+0	982.288530235081340E-3
18.000000000000028E+0	996.129661516922170E-3
19.000000000000028E+0	999.193665247192220E-3
20.000000000000028E+0	997.097501154140420E-3
21.000000000000028E+0	998.883821857266320E-3
22.000000000000028E+0	999.209093175072890E-3
23.000000000000028E+0	999.650865337843420E-3
24.000000000000028E+0	999.725838215020480E-3
25.000000000000028E+0	999.661366522975660E-3
26.000000000000028E+0	999.918541505456670E-3
27.000000000000028E+0	999.901939097520560E-3
28.000000000000028E+0	999.878538690051830E-3
29.000000000000028E+0	999.646117585533340E-3
30.000000000000028E+0	999.590023831943060E-3
31.000000000000028E+0	999.547864466078790E-3
32.000000000000028E+0	999.437535045680220E-3
33.000000000000028E+0	999.005524738036830E-3
34.000000000000028E+0	996.065825630343960E-3
35.000000000000028E+0	988.779331490020510E-3
36.000000000000028E+0	984.204416029136000E-3
37.000000000000028E+0	997.626757171056980E-3
38.000000000000028E+0	989.982643454876080E-3
39.000000000000028E+0	998.669756516871510E-3
40.000000000000028E+0	998.664904429594880E-3
41.000000000000028E+0	999.459972172920040E-3
42.000000000000028E+0	999.782892731062020E-3
43.000000000000028E+0	999.283643011941500E-3
44.000000000000028E+0	998.329053953699530E-3
45.000000000000028E+0	999.087196009187490E-3
46.000000000000028E+0	993.566232918693610E-3
47.000000000000028E+0	999.065562086431820E-3
48.000000000000028E+0	999.572874853368990E-3
49.000000000000028E+0	999.545505170865160E-3
50.000000000000028E+0	999.707933532478220E-3
51.000000000000028E+0	999.906995347160320E-3
52.000000000000028E+0	999.617160993211630E-3
53.000000000000028E+0	999.774549746361600E-3
54.000000000000028E+0	999.847413931488680E-3
55.000000000000028E+0	999.868243011573400E-3
56.000000000000028E+0	999.903875937499740E-3
57.000000000000028E+0	999.915055811055000E-3
58.000000000000028E+0	999.609188710361420E-3
59.000000000000028E+0	999.887659828978870E-3
60.000000000000028E+0	999.951904862013910E-3
61.000000000000028E+0	999.892110926379420E-3
62.000000000000028E+0	999.906519885838900E-3
63.000000000000028E+0	999.970621759477040E-3
64.000000000000028E+0	999.969949148756480E-3
65.000000000000028E+0	999.969104709217070E-3
66.000000000000028E+0	999.927214515586750E-3
67.000000000000028E+0	999.358338614977360E-3
68.000000000000028E+0	999.788147586268440E-3
69.000000000000028E+0	999.848114668801190E-3
70.000000000000028E+0	999.710590489793050E-3
71.000000000000028E+0	996.760799455590820E-3
72.000000000000028E+0	999.330869552972680E-3
73.000000000000028E+0	999.625762820836590E-3
74.000000000000028E+0	999.756061093003630E-3
75.000000000000028E+0	999.580607858947420E-3
76.000000000000028E+0	999.801683974721130E-3
77.000000000000028E+0	999.732472908336330E-3
78.000000000000028E+0	999.831801763398920E-3
79.000000000000028E+0	999.916256256471070E-3
80.000000000000028E+0	999.692830031931210E-3
81.000000000000028E+0	999.565345005968500E-3
82.000000000000028E+0	999.751270235223810E-3
83.000000000000028E+0	999.877917447200670E-3
84.000000000000028E+0	999.818832050260560E-3
85.000000000000028E+0	999.116325493785930E-3
86.000000000000028E+0	999.318639807172730E-3
87.000000000000028E+0	998.713585464213070E-3
88.000000000000028E+0	999.888281903277830E-3
89.000000000000028E+0	999.801976437497690E-3
90.000000000000028E+0	993.806009383200850E-3
91.000000000000028E+0	999.672237673916220E-3
92.000000000000028E+0	999.560006025141500E-3
93.000000000000028E+0	999.444339966403580E-3
94.000000000000028E+0	999.369467782518670E-3
95.000000000000028E+0	998.173021379880950E-3
96.000000000000028E+0	998.764631928451880E-3
97.000000000000028E+0	999.799608187055380E-3
98.000000000000028E+0	999.737608195513600E-3
99.000000000000028E+0	999.192208219425780E-3
100.000000000000030E+0	989.773349141006450E-3
101.000000000000030E+0	999.774478708787330E-3
102.000000000000030E+0	999.406574008267710E-3
103.000000000000030E+0	978.556968254469690E-3
104.000000000000030E+0	998.914835307921800E-3
105.000000000000030E+0	997.687682324873040E-3
106.000000000000030E+0	999.202775270047750E-3
107.000000000000030E+0	999.749375198949910E-3
108.000000000000030E+0	999.462850889855200E-3
109.000000000000030E+0	994.319563421220960E-3
110.000000000000030E+0	988.836644579093700E-3
111.000000000000030E+0	992.299898327473780E-3
112.000000000000030E+0	985.631326049127180E-3
113.000000000000030E+0	996.570784797405020E-3
114.000000000000030E+0	998.514039677741770E-3
115.000000000000030E+0	996.873193150253020E-3
116.000000000000030E+0	998.084910683416090E-3
117.000000000000030E+0	999.338709611271580E-3
118.000000000000030E+0	996.795509083995170E-3
119.000000000000030E+0	999.059609514711400E-3
120.000000000000030E+0	999.337793686707500E-3
121.000000000000030E+0	999.259163159430860E-3
122.000000000000030E+0	998.973274553468180E-3
123.000000000000030E+0	998.942823455464700E-3
124.000000000000030E+0	998.148463919767970E-3
125.000000000000030E+0	999.173029159352690E-3
126.000000000000030E+0	998.347004464876340E-3
127.000000000000030E+0	996.973774095851530E-3
128.000000000000030E+0	998.579019680109310E-3
129.000000000000030E+0	998.688136399054400E-3
130.000000000000030E+0	999.176509807703450E-3
131.000000000000030E+0	998.906676044020060E-3
132.000000000000030E+0	999.500863134322180E-3
133.000000000000030E+0	999.782757219775830E-3
134.000000000000030E+0	999.776816497383590E-3
135.000000000000030E+0	999.823407171937630E-3
136.000000000000030E+0	999.843786989301990E-3
137.000000000000030E+0	999.625204396292540E-3
138.000000000000030E+0	999.162075900046910E-3
139.000000000000030E+0	999.855035648624660E-3
140.000000000000030E+0	999.831100510531370E-3
141.000000000000030E+0	999.339609626810340E-3
142.000000000000030E+0	999.331106942131340E-3
143.000000000000030E+0	999.790374090006480E-3
144.000000000000030E+0	999.781318736619020E-3
145.000000000000030E+0	999.686878187307950E-3
146.000000000000030E+0	999.550948376388360E-3
147.000000000000030E+0	993.910744872550270E-3
148.000000000000030E+0	999.324172697875770E-3
149.000000000000030E+0	999.759953773825200E-3
150.000000000000030E+0	998.242577735791950E-3
151.000000000000030E+0	997.749161145968230E-3
152.000000000000030E+0	999.617668232729460E-3
153.000000000000030E+0	999.615452485044690E-3
154.000000000000030E+0	999.522447067761170E-3
155.000000000000030E+0	999.484099212657790E-3
156.000000000000030E+0	999.251466885137110E-3
157.000000000000030E+0	993.788633032519300E-3
158.000000000000030E+0	997.628720434738270E-3
159.000000000000030E+0	996.924141777978280E-3
160.000000000000030E+0	970.539277674469120E-3
161.000000000000030E+0	997.895879106459720E-3
162.000000000000030E+0	999.492318300636670E-3
163.000000000000030E+0	998.762360857203490E-3
164.000000000000030E+0	998.980547541643780E-3
165.000000000000030E+0	999.725103105210230E-3
166.000000000000030E+0	999.194063305379300E-3
167.000000000000030E+0	999.186447477994790E-3
168.000000000000030E+0	999.348693617672980E-3
169.000000000000030E+0	994.934847643523690E-3
170.000000000000030E+0	997.350759008395090E-3
171.000000000000030E+0	999.029887208129350E-3
172.000000000000030E+0	999.644297741083100E-3
173.000000000000030E+0	999.356732765581570E-3
174.000000000000030E+0	999.114292333592060E-3
175.000000000000030E+0	997.475045186925650E-3
176.000000000000030E+0	995.186717011599110E-3
177.000000000000030E+0	788.713974735537390E-3
178.000000000000030E+0	935.179188060766610E-3
179.000000000000030E+0	989.724292434673520E-3
180.000000000000030E+0	998.902717985871270E-3
181.000000000000030E+0	999.188919952507360E-3
182.000000000000030E+0	997.325965365509550E-3
183.000000000000030E+0	998.797104115113580E-3
184.000000000000030E+0	998.921536370673820E-3
185.000000000000030E+0	995.778197316979250E-3
186.000000000000030E+0	995.230523467954710E-3
187.000000000000030E+0	997.211931622075110E-3
188.000000000000030E+0	939.853176881135680E-3
189.000000000000030E+0	997.498815027646150E-3
190.000000000000030E+0	998.973305159835070E-3
191.000000000000030E+0	999.265929654005180E-3
192.000000000000030E+0	999.356185571791400E-3
193.000000000000030E+0	998.438762942988830E-3
194.000000000000030E+0	998.588129463239160E-3
195.000000000000030E+0	998.272348450583210E-3
196.000000000000030E+0	999.150478190317330E-3
197.000000000000030E+0	999.016547686247810E-3
198.000000000000030E+0	953.405638064259260E-3
199.000000000000030E+0	998.274996852876460E-3
200.000000000000030E+0	990.278934716771090E-3
201.000000000000030E+0	981.029244605852170E-3
202.000000000000030E+0	992.616142717441030E-3
203.000000000000030E+0	986.752356006333040E-3
204.000000000000030E+0	998.132415716383340E-3
205.000000000000030E+0	997.812294964046000E-3
206.000000000000030E+0	994.662929618730370E-3
207.000000000000030E+0	997.609712076729330E-3
208.000000000000030E+0	998.242685526439020E-3
209.000000000000030E+0	998.316080516267520E-3
210.000000000000030E+0	998.725811954028540E-3
211.000000000000030E+0	994.736922478732350E-3
212.000000000000030E+0	992.979528369669290E-3
213.000000000000030E+0	999.571631273060370E-3
214.000000000000030E+0	999.294383506838190E-3
215.000000000000030E+0	999.048579968232370E-3
216.000000000000030E+0	997.857728310064470E-3
217.000000000000030E+0	991.948141538539270E-3
218.000000000000030E+0	998.706481663874990E-3
219.000000000000030E+0	999.014113846682040E-3
220.000000000000030E+0	996.378814401894800E-3
221.000000000000030E+0	980.512455906722760E-3
222.000000000000030E+0	998.843338977668190E-3
223.000000000000030E+0	999.416878894773600E-3
224.000000000000030E+0	999.056722086441030E-3
225.000000000000030E+0	999.022743028523340E-3
226.000000000000030E+0	997.620527352637290E-3
227.000000000000030E+0	996.539675254123010E-3
228.000000000000030E+0	999.050218403721100E-3
229.000000000000030E+0	998.695528377408490E-3
230.000000000000030E+0	998.972725339948410E-3
231.000000000000030E+0	997.471787787576170E-3
232.000000000000030E+0	997.118154241145360E-3
233.000000000000030E+0	997.702949104995800E-3
234.000000000000030E+0	998.914910659432720E-3
235.000000000000030E+0	999.063849563571300E-3
236.000000000000030E+0	999.279040745374990E-3
237.000000000000030E+0	996.655277608214930E-3
238.000000000000030E+0	996.094534979198640E-3
239.000000000000030E+0	985.179019359222920E-3
240.000000000000030E+0	998.815072923191600E-3
241.000000000000030E+0	999.115011432960000E-3
242.000000000000030E+0	996.987322426234330E-3
243.000000000000030E+0	974.293554325932790E-3
244.000000000000030E+0	984.489267174125440E-3
245.000000000000030E+0	986.276174156484830E-3
246.000000000000030E+0	998.120261812225570E-3
247.000000000000030E+0	998.289733111073500E-3
248.000000000000030E+0	997.984255628037940E-3
249.000000000000030E+0	994.950677859167130E-3
250.000000000000030E+0	983.530769119060900E-3
251.000000000000030E+0	998.085859365066000E-3
252.000000000000030E+0	997.741633397021150E-3
253.000000000000030E+0	998.737428577661120E-3
254.000000000000030E+0	999.007915795291250E-3
255.000000000000030E+0	998.511694080749020E-3
256.000000000000060E+0	999.218776131584380E-3
257.000000000000060E+0	998.554727378267110E-3
258.000000000000060E+0	997.576400660861840E-3
259.000000000000060E+0	991.216212862890300E-3
260.000000000000060E+0	989.247907960444930E-3
261.000000000000060E+0	970.238151681263040E-3
262.000000000000060E+0	988.112336980456750E-3
263.000000000000060E+0	997.545334259379750E-3
264.000000000000060E+0	999.001969456261300E-3
265.000000000000060E+0	999.080839628719410E-3
266.000000000000060E+0	999.199695700606960E-3
267.000000000000060E+0	996.548374916826570E-3
268.000000000000060E+0	993.870422850302800E-3
269.000000000000060E+0	995.989493292580800E-3
270.000000000000060E+0	998.509450644249120E-3
271.000000000000060E+0	994.714316638580340E-3
272.000000000000060E+0	988.447914055005980E-3
273.000000000000060E+0	995.669530619287760E-3
274.000000000000060E+0	996.946603399948780E-3
275.000000000000060E+0	996.125304400534480E-3
276.000000000000060E+0	994.867145676637480E-3
277.000000000000060E+0	978.577944334384610E-3
278.000000000000060E+0	993.406905923085780E-3
279.000000000000060E+0	996.054927311329160E-3
280.000000000000060E+0	993.834737203473820E-3
281.000000000000060E+0	993.604088401482620E-3
282.000000000000060E+0	956.610868595453410E-3
283.000000000000060E+0	992.267505107407240E-3
284.000000000000060E+0	995.092629616579290E-3
285.000000000000060E+0	997.610939928167070E-3
286.000000000000060E+0	994.709512853103830E-3
287.000000000000060E+0	993.096026189925320E-3
288.000000000000060E+0	998.717164758716190E-3
289.000000000000060E+0	997.845176110531140E-3
290.000000000000060E+0	994.626898607830710E-3
291.000000000000060E+0	997.512546351237090E-3
292.000000000000060E+0	998.264581860518030E-3
293.000000000000060E+0	998.439550786333400E-3
294.000000000000060E+0	997.492848786352800E-3
295.000000000000060E+0	995.230993233992780E-3
296.000000000000060E+0	993.176922378036560E-3
297.000000000000060E+0	998.474992178059240E-3
298.000000000000060E+0	999.198150829360590E-3
299.000000000000060E+0	998.307435917756280E-3
300.000000000000060E+0	992.692023699393580E-3
301.000000000000060E+0	997.239636121611930E-3
302.000000000000060E+0	998.449776659819600E-3
303.000000000000060E+0	980.873476939989270E-3
304.000000000000060E+0	995.400437124459580E-3
305.000000000000060E+0	994.462503362312340E-3
306.000000000000060E+0	996.374882892154590E-3
307.000000000000060E+0	998.063580915963480E-3
308.000000000000060E+0	997.264425418350030E-3
309.000000000000060E+0	996.059560461665770E-3
310.000000000000060E+0	996.546443719272590E-3
311.000000000000060E+0	999.003741626303230E-3
312.000000000000060E+0	998.482964495496450E-3
313.000000000000060E+0	997.446256213560870E-3
314.000000000000060E+0	997.231958611658250E-3
315.000000000000060E+0	998.162588047615590E-3
316.000000000000060E+0	997.344547228574020E-3
317.000000000000060E+0	998.253172332066340E-3
318.000000000000060E+0	996.610325346019900E-3
319.000000000000060E+0	991.859109577595270E-3
320.000000000000060E+0	998.374758948711970E-3
